domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
clinical,care_coordination,advance_directive,advance_directive_id,advance_directive_id,Advance Directive ID,BIGINT,Y,,,,master_data,Unique surrogate identifier for the advance directive record in the lakehouse silver layer. Primary key for this entity.,
clinical,care_coordination,advance_directive,advance_clinical_order_id,advance_clinical_order_id,,BIGINT,,order.clinical_order.clinical_order_id,,,master_data,foreign_key_to,
clinical,care_coordination,advance_directive,care_site_id,care_site_id,Facility ID,BIGINT,,facility.care_site.care_site_id,,,master_data,"Reference to the healthcare facility (hospital, clinic, or outpatient center) where the advance directive was documented or verified. Supports multi-facility enterprise reporting and care transition workflows.",
clinical,care_coordination,advance_directive,claim_attachment_id,claim_attachment_id,Claim Attachment Id (Foreign Key),BIGINT,,claim.claim_attachment.claim_attachment_id,,,master_data,Foreign key linking to claim.claim_attachment. Business justification: Advance directives are required documentation for hospice and palliative care claims. Compliance teams must link directive to claim attachment for Medicare hospice election validation and end-of-life ,
clinical,care_coordination,advance_directive,clinical_order_id,clinical_order_id,Restricting Clinical Order Id (Foreign Key),BIGINT,,order.clinical_order.clinical_order_id,,,master_data,"Foreign key linking to order.clinical_order. Business justification: Advance directives constrain order placement. Real workflow: DNR status prevents code blue orders. Essential for end-of-life care compliance, CPOE decision support, ethics committee review, and regula",
clinical,care_coordination,advance_directive,clinician_id,clinician_id,Documenting Provider ID,BIGINT,,provider.clinician.clinician_id,,,master_data,Reference to the clinician or provider who documented or verified the advance directive in the Electronic Health Record (EHR). Supports audit and accountability requirements.,
clinical,care_coordination,advance_directive,compliance_policy_id,compliance_policy_id,Policy Id (Foreign Key),BIGINT,,compliance.compliance_policy.compliance_policy_id,,,master_data,Foreign key linking to compliance.policy. Business justification: Advance directive management is governed by organizational policies implementing state/federal regulations (Patient Self-Determination Act). Healthcare organizations must link advance directive record,
clinical,care_coordination,advance_directive,consent_record_id,consent_record_id,Consent Record Id (Foreign Key),BIGINT,,consent.consent_consent_record.consent_record_id,,,master_data,"Foreign key linking to consent.consent_record. Business justification: Advance directives are a specialized form of consent for end-of-life care decisions. Linking to the general consent framework ensures comprehensive consent tracking, supports POLST/MOLST workflows, an",
clinical,care_coordination,advance_directive,demographics_id,demographics_id,Patient ID,BIGINT,,patient.demographics.demographics_id,"dbx_restricted, dbx_pii_identifier",,master_data,Reference to the patient for whom this advance directive was documented. Links to the patient master record.,
clinical,care_coordination,advance_directive,employee_id,employee_id,,BIGINT,,workforce.employee.employee_id,"confidential,pii",,master_data,FK to workforce.employee.employee_id,
clinical,care_coordination,advance_directive,mpi_record_id,mpi_record_id,,BIGINT,,patient.mpi_record.mpi_record_id,,,master_data,description,
clinical,care_coordination,advance_directive,quality_measure_id,quality_measure_id,Quality Measure Id (Foreign Key),BIGINT,,quality.measure.measure_id,,,master_data,"Foreign key linking to quality.measure. Business justification: Advance directive documentation is a quality measure in MIPS, hospice quality, and palliative care programs. Direct linkage enables automated measure calculation and advance care planning quality trac",
clinical,care_coordination,advance_directive,superseded_by_directive_advance_directive_id,superseded_by_directive_advance_directive_id,Superseded By Directive ID,BIGINT,,clinical.advance_directive.advance_directive_id,,,master_data,Reference to the newer advance directive record that supersedes this one. Null if this directive has not been superseded. Enables directive version chain tracking and ensures the most current directive is applied in care decisions.,
clinical,care_coordination,advance_directive,visit_id,visit_id,Encounter ID,BIGINT,,encounter.visit.visit_id,,,master_data,Reference to the clinical encounter during which the advance directive was documented or verified. May be null if documented outside an encounter context.,
clinical,care_coordination,advance_directive,artificially_administered_nutrition,artificially_administered_nutrition,Artificially Administered Nutrition Preference,STRING,,,,Accept|Decline|Trial Period|No Preference Stated,master_data,"Patients documented preference regarding artificially administered nutrition and hydration (e.g., feeding tubes, IV fluids) as specified in the advance directive or POLST/MOLST. Critical for end-of-life care planning.",
clinical,care_coordination,advance_directive,capacity_assessment_result,capacity_assessment_result,Patient Decision-Making Capacity Assessment Result,STRING,,,,Has Capacity|Lacks Capacity|Capacity Uncertain,master_data,The result of the formal patient decision-making capacity assessment conducted at the time of advance directive documentation. Determines whether the patient could legally execute or modify the directive.,
clinical,care_coordination,advance_directive,clinical_notes,clinical_notes,Advance Directive Clinical Notes,STRING,,,"dbx_restricted, dbx_pii_health",,master_data,"Free-text clinical notes or additional instructions documented by the provider regarding the patients advance directive, including nuances, patient-expressed wishes, or contextual information not captured in structured fields.",
clinical,care_coordination,advance_directive,code_status,code_status,Code Status,STRING,,,,Full Code|DNR|DNR/DNI|Comfort Care|Limited Interventions,master_data,The patients current resuscitation code status as documented in the advance directive. Full Code = all resuscitative measures; DNR = Do Not Resuscitate; DNR/DNI = Do Not Resuscitate / Do Not Intubate; Comfort Care = palliative measures only; Limited Interventions = selective resuscitative measures as specified.,
clinical,care_coordination,advance_directive,consent_verification_method,consent_verification_method,Directive Verification Method,STRING,,,,Original Document|Scanned Copy|Verbal Confirmation|Electronic Record|Notarized Copy,master_data,The method used to verify the authenticity and currency of the advance directive. Original Document = physical original reviewed; Scanned Copy = digitized copy on file; Verbal Confirmation = patient verbally confirmed; Electronic Record = verified via Health Information Exchange (HIE); Notarized Copy = legally notarized document reviewed.,
clinical,care_coordination,advance_directive,created_timestamp,created_timestamp,Record Created Timestamp,TIMESTAMP,,,,,master_data,"The date and time when this advance directive record was first created in the lakehouse data platform. Supports data lineage, audit trail, and regulatory compliance reporting.",
clinical,care_coordination,advance_directive,directive_status,directive_status,Advance Directive Status,STRING,,,,active|revoked|superseded|expired|pending_verification,master_data,Current lifecycle status of the advance directive document. Active = currently in force; Revoked = patient has withdrawn the directive; Superseded = replaced by a newer directive; Expired = past the expiration date; Pending Verification = documented but not yet clinically verified.,
clinical,care_coordination,advance_directive,directive_type,directive_type,Advance Directive Type,STRING,,,,DNR|POLST|MOLST|Living Will|Healthcare Power of Attorney|Comfort Care Order,master_data,Classification of the advance directive document type. DNR = Do Not Resuscitate; POLST = Physician Orders for Life-Sustaining Treatment; MOLST = Medical Orders for Life-Sustaining Treatment; Living Will = written legal document; Healthcare Power of Attorney = proxy designation; Comfort Care Order = palliative/comfort-focused care order.,
clinical,care_coordination,advance_directive,document_location,document_location,Directive Document Location,STRING,,,,EHR Scanned|Patient Holds Original|Family Holds Copy|Registry|Attorney on File,master_data,Indicates where the physical or electronic copy of the advance directive document is stored or held. Supports retrieval during care transitions and emergency situations.,
clinical,care_coordination,advance_directive,documented_timestamp,documented_timestamp,Directive Documented Timestamp,TIMESTAMP,,,,,master_data,The date and time when the advance directive was first entered or documented in the Electronic Health Record (EHR). Serves as the BUSINESS_EVENT_TIMESTAMP for this records creation in the clinical system.,
clinical,care_coordination,advance_directive,effective_date,effective_date,Directive Effective Date,DATE,,,,,master_data,The date on which the advance directive becomes legally and clinically effective. Used to determine whether the directive is currently binding for care decisions.,
clinical,care_coordination,advance_directive,ethics_consult_requested,ethics_consult_requested,Ethics Consultation Requested Indicator,BOOLEAN,,,,,master_data,"Indicates whether an ethics committee consultation was requested in connection with this advance directive. Supports quality reporting, compliance tracking, and clinical ethics workflows.",
clinical,care_coordination,advance_directive,expiration_date,expiration_date,Directive Expiration Date,DATE,,,,,master_data,The date on which the advance directive expires and is no longer legally or clinically binding. Null if the directive has no defined expiration (open-ended). Supports automated status transitions to expired.,
clinical,care_coordination,advance_directive,fhir_consent_reference,fhir_consent_reference,Fast Healthcare Interoperability Resources (FHIR) Consent Resource ID,STRING,,,,,master_data,"The FHIR Consent resource identifier corresponding to this advance directive, enabling interoperability with Health Information Exchange (HIE) platforms and FHIR-compliant systems.",
clinical,care_coordination,advance_directive,hospice_enrolled,hospice_enrolled,Hospice Enrollment Indicator,BOOLEAN,,,,,master_data,Indicates whether the patient is currently enrolled in a hospice program at the time of advance directive documentation. Relevant for care plan alignment and CMS hospice benefit compliance.,
clinical,care_coordination,advance_directive,hospitalization_preference,hospitalization_preference,Hospitalization Preference,STRING,,,,Accept Hospitalization|Avoid Hospitalization|Comfort Care Only|No Preference Stated,master_data,Patients documented preference regarding hospitalization and transfer to acute care settings as specified in the POLST/MOLST. Guides care transitions and Emergency Department (ED) triage decisions.,
clinical,care_coordination,advance_directive,interpreter_used,interpreter_used,Interpreter Used Indicator,BOOLEAN,,,,,master_data,Indicates whether a language interpreter was used during the advance directive discussion and documentation process. Supports compliance with Title VI of the Civil Rights Act and CMS language access requirements.,
clinical,care_coordination,advance_directive,life_sustaining_treatment_preference,life_sustaining_treatment_preference,Life-Sustaining Treatment Preference,STRING,,,"dbx_restricted, dbx_pii",Full Treatment|Selective Treatment|Comfort Measures Only,master_data,Patients documented preference regarding life-sustaining treatment as captured in the POLST/MOLST or living will. Full Treatment = all medically appropriate interventions; Selective Treatment = specific interventions as detailed; Comfort Measures Only = palliative and comfort-focused care only. Core clinical decision support field.,
clinical,care_coordination,advance_directive,mechanical_ventilation_preference,mechanical_ventilation_preference,Mechanical Ventilation Preference,STRING,,,,Accept|Decline|Trial Period|No Preference Stated,master_data,Patients documented preference regarding mechanical ventilation and intubation as specified in the advance directive or POLST/MOLST. Directly informs DNR/DNI code status decisions.,
clinical,care_coordination,advance_directive,mrn,mrn,Medical Record Number (MRN),STRING,,,"dbx_restricted, dbx_pii_identifier",,master_data,"pii_phi,pii_pii,pii_sensitive",
clinical,care_coordination,advance_directive,notarized,notarized,Directive Notarized Indicator,BOOLEAN,,,,,master_data,Indicates whether the advance directive document has been notarized. Some state jurisdictions require notarization for legal validity of living wills and healthcare power of attorney designations.,
clinical,care_coordination,advance_directive,organ_donation_status,organ_donation_status,Organ Donation Status,STRING,,,,Donor|Non-Donor|Donor with Restrictions|Unknown,master_data,Patients documented preference or registered status regarding organ and tissue donation as captured in the advance directive or linked registry. Supports organ procurement coordination and UNOS compliance.,
clinical,care_coordination,advance_directive,palliative_care_referral,palliative_care_referral,Palliative Care Referral Indicator,BOOLEAN,,,,,master_data,"Indicates whether a palliative care referral was initiated in conjunction with the advance directive documentation. Supports care coordination, population health management, and quality measure reporting.",
