domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
engineering,parts_design,bom,bom_id,bom_id,,BIGINT,Y,,,,master_data,,
engineering,parts_design,bom,change_id,change_id,,BIGINT,,engineering.change.change_id,,,master_data,,
engineering,parts_design,bom,design_specification_id,design_specification_id,Design Specification Id (Foreign Key),BIGINT,,engineering.design_specification.design_specification_id,,,master_data,Foreign key linking to engineering.design_specification. Business justification: An engineering BOM is the physical realization of a design specification — the BOM is built to satisfy the requirements defined in the design spec. Linking bom to design_specification establishes whic,Internal - LLM Generated Cross-Domain Link
engineering,parts_design,bom,vehicle_program_id,vehicle_program_id,,BIGINT,,engineering.vehicle_program.vehicle_program_id,,,master_data,,
engineering,parts_design,bom,bom_number,bom_number,,STRING,,,,,master_data,,
engineering,parts_design,bom,bom_status,bom_status,,STRING,,,,,master_data,,
engineering,parts_design,bom,bom_type,bom_type,,STRING,,,,,master_data,,
engineering,parts_design,bom,created_timestamp,created_timestamp,,TIMESTAMP,,,,,master_data,,
engineering,parts_design,bom,data_governance_ref,data_governance_ref,Data Governance Reference,STRING,,,,,master_data,Reference to data governance catalog entry for lineage tracking,
engineering,parts_design,bom,effective_from_date,effective_from_date,,DATE,,,,,master_data,,
engineering,parts_design,bom,effective_to_date,effective_to_date,,DATE,,,,,master_data,,
engineering,parts_design,bom,field_service_info,field_service_info,,STRING,,,,,master_data,"Field service related information, consolidating field service concepts.",
engineering,parts_design,bom,model_year,model_year,,INT,,,,,master_data,,
engineering,parts_design,bom,plant_code,plant_code,,STRING,,,,,master_data,,
engineering,parts_design,bom,revision_level,revision_level,,STRING,,,,,master_data,,
engineering,parts_design,bom,source_system_code,source_system_code,Source System Code,STRING,,,,,master_data,"Identifies the source PLM/CAD system (e.g., Teamcenter, ENOVIA, Windchill)",
engineering,parts_design,bom,standard_cost_amount,standard_cost_amount,,"DECIMAL(18,2)",,,,,master_data,,
engineering,parts_design,bom,total_component_count,total_component_count,,INT,,,,,master_data,,
engineering,parts_design,bom,total_weight_kg,total_weight_kg,,"DECIMAL(10,3)",,,,,master_data,,
engineering,parts_design,bom,updated_timestamp,updated_timestamp,,TIMESTAMP,,,,,master_data,,
engineering,parts_design,cad_model,cad_model_id,cad_model_id,,BIGINT,Y,,,,master_data,,
engineering,parts_design,cad_model,change_id,change_id,Change Id (Foreign Key),BIGINT,,engineering.change.change_id,,,master_data,"Foreign key linking to engineering.change. Business justification: CAD models are updated as part of engineering change orders. This FK links each CAD model revision to the ECO/ECN that authorized the change, enabling change-to-CAD traceability and ensuring CAD model",Internal - LLM Generated Cross-Domain Link
engineering,parts_design,cad_model,design_specification_id,design_specification_id,,BIGINT,,engineering.design_specification.design_specification_id,,,master_data,,
engineering,parts_design,cad_model,part_master_id,part_master_id,,BIGINT,,engineering.part_master.part_master_id,,,master_data,,
engineering,parts_design,cad_model,cad_file_name,cad_file_name,,STRING,,,,,master_data,,
engineering,parts_design,cad_model,cad_system,cad_system,,STRING,,,,,master_data,,
engineering,parts_design,cad_model,checksum,checksum,,STRING,,,,,master_data,,
engineering,parts_design,cad_model,created_timestamp,created_timestamp,,TIMESTAMP,,,,,master_data,,
engineering,parts_design,cad_model,data_governance_ref,data_governance_ref,Data Governance Reference,STRING,,,,,master_data,Reference to data catalog entry for lineage and governance,
engineering,parts_design,cad_model,field_service_info,field_service_info,,STRING,,,,,master_data,"Field service related information, consolidating field service concepts.",
engineering,parts_design,cad_model,file_format,file_format,,STRING,,,,,master_data,,
engineering,parts_design,cad_model,file_size_bytes,file_size_bytes,,BIGINT,,,,,master_data,,
engineering,parts_design,cad_model,model_status,model_status,,STRING,,,,,master_data,,
engineering,parts_design,cad_model,revision_level,revision_level,,STRING,,,,,master_data,,
engineering,parts_design,cad_model,source_system_code,source_system_code,Source System Code,STRING,,,,,master_data,"Identifies the source PLM/CAD system (e.g., Teamcenter, ENOVIA, Windchill)",
engineering,parts_design,cad_model,updated_timestamp,updated_timestamp,,TIMESTAMP,,,,,master_data,,
engineering,parts_design,cad_model,created_by,created_by,,STRING,,,,,master_data,,
engineering,parts_design,design_specification,design_specification_id,design_specification_id,,BIGINT,Y,,,,master_data,,
engineering,parts_design,design_specification,regulatory_requirement_id,regulatory_requirement_id,Regulatory Requirement Id (Foreign Key),BIGINT,,compliance.regulatory_requirement.regulatory_requirement_id,,,master_data,"Foreign key linking to compliance.regulatory_requirement. Business justification: Design specifications in automotive are authored to satisfy specific regulatory requirements (e.g., FMVSS 208 drives airbag deployment specs). Requirements traceability coverage reporting (requirement",Internal - LLM Generated Cross-Domain Link
engineering,parts_design,design_specification,vehicle_program_id,vehicle_program_id,,BIGINT,,engineering.vehicle_program.vehicle_program_id,,,master_data,,
engineering,parts_design,design_specification,created_timestamp,created_timestamp,,TIMESTAMP,,,,,master_data,,
engineering,parts_design,design_specification,data_governance_ref,data_governance_ref,Data Governance Reference,STRING,,,,,master_data,Reference to data catalog entry for lineage and governance,
engineering,parts_design,design_specification,description,description,,STRING,,,,,master_data,,
