domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
clinical,care_coordination,advance_directive,advance_directive_id,advance_directive_id,Advance Directive ID,BIGINT,Y,,,,master_data,Unique surrogate identifier for the advance directive record in the lakehouse silver layer. Primary key for this entity.,
clinical,care_coordination,advance_directive,care_plan_id,care_plan_id,Care Plan Id (Foreign Key),BIGINT,,clinical.care_plan.care_plan_id,,,master_data,Foreign key linking to clinical.care_plan. Business justification: Advance directives are closely integrated with care plans — care_plan has an advance_directive_on_file flag indicating this relationship. Linking advance_directive to care_plan via care_plan_id enable,Internal - LLM Generated Cross-Domain Link
clinical,care_coordination,advance_directive,clinician_id,clinician_id,Documenting Provider ID,BIGINT,,provider.clinician.clinician_id,,,master_data,Reference to the clinician or provider who documented or verified the advance directive in the Electronic Health Record (EHR). Supports audit and accountability requirements.,
clinical,care_coordination,advance_directive,demographics_id,demographics_id,Patient ID,BIGINT,,patient.demographics.demographics_id,"restricted,pii_identifier",,master_data,Reference to the patient for whom this advance directive was documented. Links to the patient master record.,
clinical,care_coordination,advance_directive,mpi_record_id,mpi_record_id,,BIGINT,,patient.mpi_record.mpi_record_id,,,master_data,Unique identifier for the mpi record within the clinical advance directive record.,
clinical,care_coordination,advance_directive,proxy_emergency_contact_id,proxy_emergency_contact_id,Proxy Emergency Contact Id (Foreign Key),BIGINT,,patient.emergency_contact.emergency_contact_id,,,master_data,Foreign key linking to patient.emergency_contact. Business justification: The healthcare proxy named in an advance directive is operationally the same person as the emergency contact. Normalizing this via FK eliminates denormalized proxy_name/proxy_relationship/proxy_phone ,Internal - LLM Generated Cross-Domain Link
clinical,care_coordination,advance_directive,registration_event_id,registration_event_id,Registration Event Id (Foreign Key),BIGINT,,patient.registration_event.registration_event_id,,,master_data,Foreign key linking to patient.registration_event. Business justification: CMS Conditions of Participation (42 CFR §489.102) require hospitals to document advance directive status at each registration/admission. Linking advance_directive to registration_event enables complia,Internal - LLM Generated Cross-Domain Link
clinical,care_coordination,advance_directive,superseded_by_directive_advance_directive_id,superseded_by_directive_advance_directive_id,Superseded By Directive ID,BIGINT,,clinical.advance_directive.advance_directive_id,,,master_data,Reference to the newer advance directive record that supersedes this one. Null if this directive has not been superseded. Enables directive version chain tracking and ensures the most current directive is applied in care decisions.,
clinical,care_coordination,advance_directive,visit_id,visit_id,Encounter ID,BIGINT,,encounter.visit.visit_id,,,master_data,Reference to the clinical encounter during which the advance directive was documented or verified. May be null if documented outside an encounter context.,
clinical,care_coordination,advance_directive,advance_directive_status,advance_directive_status,,STRING,,,,,master_data,The advance directive status value classifying the clinical advance directive record.,
clinical,care_coordination,advance_directive,artificially_administered_nutrition,artificially_administered_nutrition,Artificially Administered Nutrition Preference,STRING,,,,Accept|Decline|Trial Period|No Preference Stated,master_data,"Patient's documented preference regarding artificially administered nutrition and hydration (e.g., feeding tubes, IV fluids) as specified in the advance directive or POLST/MOLST. Critical for end-of-life care planning.",
clinical,care_coordination,advance_directive,behavioral_health_protected_flag,behavioral_health_protected_flag,,BOOLEAN,,,"pii_pii=true,pii_phi=true,pii_sensitive=true,pii_health=true,unity_catalog_tag=pii,pii_classification=phi,mask_non_prod=true",,master_data,The behavioral health protected flag of the clinical advance directive record.,
clinical,care_coordination,advance_directive,capacity_assessment_result,capacity_assessment_result,Patient Decision-Making Capacity Assessment Result,STRING,,,"pii_pii=true,pii_phi=true,pii_address=true,unity_catalog_tag=pii,pii_classification=phi,mask_non_prod=true",Has Capacity|Lacks Capacity|Capacity Uncertain,master_data,The result of the formal patient decision-making capacity assessment conducted at the time of advance directive documentation. Determines whether the patient could legally execute or modify the directive.,
clinical,care_coordination,advance_directive,care_setting,care_setting,,STRING,,,"pii_pii=true,pii_phi=true,pii_sensitive=true,pii_identifier=true,unity_catalog_tag=pii,pii_classification=phi,mask_non_prod=true",,master_data,The care setting of the clinical advance directive record.,
clinical,care_coordination,advance_directive,clinical_ai_integration_marker,clinical_ai_integration_marker,,STRING,,,"pii_pii=true,pii_phi=true,pii_sensitive=true,pii_health=true,unity_catalog_tag=pii,pii_classification=phi,mask_non_prod=true",,master_data,Marker added to satisfy clinical AI integration requirement,
clinical,care_coordination,advance_directive,clinical_ai_note,clinical_ai_note,,STRING,,,"pii_pii=true,pii_phi=true,pii_sensitive=true,pii_health=true,unity_catalog_tag=pii,pii_classification=phi,mask_non_prod=true",,master_data,The clinical ai note of the clinical advance directive record.,
clinical,care_coordination,advance_directive,clinical_notes,clinical_notes,Advance Directive Clinical Notes,STRING,,,"pii_health=true,pii_pii=true,pii_phi=true,pii_sensitive=true,unity_catalog_tag=pii,pii_classification=phi,mask_non_prod=true",,master_data,"Free-text clinical notes or additional instructions documented by the provider regarding the patient's advance directive, including nuances, patient-expressed wishes, or contextual information not captured in structured fields.",
clinical,care_coordination,advance_directive,clinical_status,clinical_status,,STRING,,,"pii_pii=true,pii_phi=true,pii_sensitive=true,pii_health=true,unity_catalog_tag=pii,pii_classification=phi,mask_non_prod=true",,master_data,The clinical status value classifying the clinical advance directive record.,
clinical,care_coordination,advance_directive,code_status,code_status,Code Status,STRING,,,,Full Code|DNR|DNR/DNI|Comfort Care|Limited Interventions,master_data,The patient's current resuscitation code status as documented in the advance directive. Full Code = all resuscitative measures; DNR = Do Not Resuscitate; DNR/DNI = Do Not Resuscitate / Do Not Intubate; Comfort Care = palliative measures only; Limited Interventions = selective resuscitative measures as specified.,
clinical,care_coordination,advance_directive,created_timestamp,created_timestamp,Record Created Timestamp,TIMESTAMP,,,,,master_data,"The date and time when this advance directive record was first created in the lakehouse data platform. Supports data lineage, audit trail, and regulatory compliance reporting.",
clinical,care_coordination,advance_directive,digital_health_relevant_flag,digital_health_relevant_flag,,BOOLEAN,,,"pii_pii=true,pii_phi=true,pii_sensitive=true,pii_health=true,unity_catalog_tag=pii,pii_classification=phi,mask_non_prod=true",,master_data,Whether this record is relevant to digital health/RPM/telehealth workflows,
clinical,care_coordination,advance_directive,directive_status,directive_status,Advance Directive Status,STRING,,,,active|revoked|superseded|expired|pending_verification,master_data,Current lifecycle status of the advance directive document. Active = currently in force; Revoked = patient has withdrawn the directive; Superseded = replaced by a newer directive; Expired = past the expiration date; Pending Verification = documented but not yet clinically verified.,
clinical,care_coordination,advance_directive,directive_type,directive_type,Advance Directive Type,STRING,,,,DNR|POLST|MOLST|Living Will|Healthcare Power of Attorney|Comfort Care Order,master_data,Classification of the advance directive document type. DNR = Do Not Resuscitate; POLST = Physician Orders for Life-Sustaining Treatment; MOLST = Medical Orders for Life-Sustaining Treatment; Living Will = written legal document; Healthcare Power of Attorney = proxy designation; Comfort Care Order = palliative/comfort-focused care order.,
clinical,care_coordination,advance_directive,document_location,document_location,Directive Document Location,STRING,,,,EHR Scanned|Patient Holds Original|Family Holds Copy|Registry|Attorney on File,master_data,Indicates where the physical or electronic copy of the advance directive document is stored or held. Supports retrieval during care transitions and emergency situations.,
clinical,care_coordination,advance_directive,documented_timestamp,documented_timestamp,Directive Documented Timestamp,TIMESTAMP,,,,,master_data,The date and time when the advance directive was first entered or documented in the Electronic Health Record (EHR). Serves as the BUSINESS_EVENT_TIMESTAMP for this record's creation in the clinical system.,
clinical,care_coordination,advance_directive,effective_date,effective_date,Directive Effective Date,DATE,,,,,master_data,The date on which the advance directive becomes legally and clinically effective. Used to determine whether the directive is currently binding for care decisions.,
clinical,care_coordination,advance_directive,ethics_consult_requested,ethics_consult_requested,Ethics Consultation Requested Indicator,BOOLEAN,,,,,master_data,"Indicates whether an ethics committee consultation was requested in connection with this advance directive. Supports quality reporting, compliance tracking, and clinical ethics workflows.",
clinical,care_coordination,advance_directive,expiration_date,expiration_date,Directive Expiration Date,DATE,,,,,master_data,The date on which the advance directive expires and is no longer legally or clinically binding. Null if the directive has no defined expiration (open-ended). Supports automated status transitions to 'expired'.,
