domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
foodsafety,allergen_incident,allergen_incident,allergen_incident_id,allergen_incident_id,Incident ID,BIGINT,Y,,,,,Primary key,
foodsafety,allergen_incident,allergen_incident,allergen_guest_profile_id,allergen_guest_profile_id,Guest Profile,BIGINT,,guest.profile.profile_id,,,,FK to guest profile,
foodsafety,allergen_incident,allergen_incident,allergen_restaurant_unit_id,allergen_restaurant_unit_id,Restaurant Unit,BIGINT,,restaurant.unit.unit_id,,,,FK to restaurant unit,
foodsafety,allergen_incident,allergen_incident,allergen_unit_id,allergen_unit_id,Unit,BIGINT,,restaurant.unit.unit_id,,,,FK to unit,
foodsafety,allergen_incident,allergen_incident,employee_id,employee_id,Employee,BIGINT,,workforce.employee.employee_id,"confidential,pii",,,FK to employee,
foodsafety,allergen_incident,allergen_incident,guest_order_id,guest_order_id,Guest Order,BIGINT,,order.guest_order.guest_order_id,,,,FK to guest order,
foodsafety,allergen_incident,allergen_incident,ingredient_id,ingredient_id,Ingredient,BIGINT,,supply.ingredient.ingredient_id,,,,FK to ingredient,
foodsafety,allergen_incident,allergen_incident,lot_tracking_id,lot_tracking_id,Lot Tracking,BIGINT,,inventory.lot_tracking.lot_tracking_id,,,,FK to lot tracking,
foodsafety,allergen_incident,allergen_incident,member_id,member_id,Member,BIGINT,,loyalty.member.member_id,"confidential,pii",,,FK to loyalty member,
foodsafety,allergen_incident,allergen_incident,menu_item_id,menu_item_id,Menu Item,BIGINT,,menu.menu_item.menu_item_id,,,,FK to menu item,
foodsafety,allergen_incident,allergen_incident,procurement_supplier_id,procurement_supplier_id,Supplier,BIGINT,,procurement.procurement_supplier.procurement_supplier_id,,,,FK to supplier,
foodsafety,allergen_incident,allergen_incident,shift_id,shift_id,Shift,BIGINT,,workforce.shift.shift_id,,,,FK to shift,
foodsafety,allergen_incident,allergen_incident,site_id,site_id,Site,BIGINT,,realestate.site.site_id,,,,FK to site,
foodsafety,allergen_incident,allergen_incident,stock_item_id,stock_item_id,Stock Item,BIGINT,,inventory.stock_item.stock_item_id,,,,FK to stock item,
foodsafety,allergen_incident,allergen_incident,temperature_log_id,temperature_log_id,Temperature Log,BIGINT,,foodsafety.temperature_log.temperature_log_id,,,,FK to temperature log,
foodsafety,allergen_incident,allergen_incident,allergen_code,allergen_code,Allergen Code,STRING,,,,,,Code of the allergen,
foodsafety,allergen_incident,allergen_incident,allergen_incident_status,allergen_incident_status,Incident Status,STRING,,,,,,Current status,
foodsafety,allergen_incident,allergen_incident,allergen_name,allergen_name,Allergen Name,STRING,,,,,,Name of the allergen,
foodsafety,allergen_incident,allergen_incident,complaint_description,complaint_description,Complaint Description,STRING,,,,,,Description of complaint,
foodsafety,allergen_incident,allergen_incident,compliance_flag,compliance_flag,Compliance Flag,BOOLEAN,,,,,,Whether compliant,
foodsafety,allergen_incident,allergen_incident,corrective_action,corrective_action,Corrective Action,STRING,,,,,,Corrective action taken,
foodsafety,allergen_incident,allergen_incident,created_timestamp,created_timestamp,Created Timestamp,TIMESTAMP,,,,,,Record creation timestamp,
foodsafety,allergen_incident,allergen_incident,fda_medwatch_filed,fda_medwatch_filed,FDA MedWatch Filed,BOOLEAN,,,,,,Whether FDA report filed,
foodsafety,allergen_incident,allergen_incident,guest_contact_info,guest_contact_info,Guest Contact Info,STRING,,,sensitivity=pii,,,Guest contact information,
