domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
asset,asset_registry,asset_risk_assessment,asset_risk_assessment_id,asset_risk_assessment_id,Asset Risk Assessment ID,BIGINT,Y,,,,transactional_data,Unique identifier for the asset risk assessment record.,ISO 55000 Asset Management
asset,asset_registry,asset_risk_assessment,assessor_employee_id,assessor_employee_id,Assessor Employee Id (Foreign Key),BIGINT,,workforce.employee.employee_id,"confidential,pii",,transactional_data,Foreign key linking to workforce.employee. Business justification: Risk assessments determine asset replacement priorities and capital investment decisions worth millions. Regulatory prudency reviews require documented qualified assessor credentials. This link provid,Internal - LLM Generated Cross-Domain Link
asset,asset_registry,asset_risk_assessment,asset_registry_id,asset_registry_id,,BIGINT,,asset.registry.registry_id,,,transactional_data,FK to asset.asset_registry.asset_registry_id — Risk assessments evaluate specific assets. This FK is essential for risk-based maintenance prioritization and IRP investment justification.,
asset,asset_registry,asset_risk_assessment,compliance_obligation_id,compliance_obligation_id,Compliance Obligation Id (Foreign Key),BIGINT,,compliance.obligation.obligation_id,,,transactional_data,"Foreign key linking to compliance.obligation. Business justification: Risk assessments evaluate compliance with regulatory standards (NERC TPL transmission planning, distribution reliability requirements, FERC dam safety). Linking assessments to obligations enables comp",Internal - LLM Generated Cross-Domain Link
asset,asset_registry,asset_risk_assessment,der_registry_id,der_registry_id,Der Registry Id (Foreign Key),BIGINT,,renewable.der_registry.der_registry_id,,,transactional_data,"Foreign key linking to renewable.der_registry. Business justification: Risk scoring for DER assets considering technology obsolescence, performance degradation rates, grid integration challenges, and stranded asset risk. Supports investment planning, rate case prudency d",Internal - LLM Generated Cross-Domain Link
asset,asset_registry,asset_risk_assessment,irp_scenario_id,irp_scenario_id,Irp Scenario Id (Foreign Key),BIGINT,,forecast.irp_scenario.irp_scenario_id,,,transactional_data,Foreign key linking to forecast.irp_scenario. Business justification: Risk assessments inform IRP scenario development. High-risk assets identified in assessments feed into IRP capacity expansion and replacement plans. Essential for risk-informed integrated resource pla,Internal - LLM Generated Cross-Domain Link
asset,asset_registry,asset_risk_assessment,registry_id,registry_id,Asset Registry ID,BIGINT,,asset.registry.registry_id,,,transactional_data,Reference to the utility asset being assessed in the asset registry.,ISO 55000 Asset Management
asset,asset_registry,asset_risk_assessment,assessment_confidence_level,assessment_confidence_level,Assessment Confidence Level,STRING,,,,high|medium|low,transactional_data,"Confidence level in the risk assessment results based on data quality, methodology rigor, and subject matter expert validation.",ISO 31000 Risk Management
asset,asset_registry,asset_risk_assessment,assessment_date,assessment_date,Risk Assessment Date,DATE,,,,,transactional_data,Date when the risk assessment was performed.,ISO 55000 Asset Management
asset,asset_registry,asset_risk_assessment,assessment_notes,assessment_notes,Assessment Notes,STRING,,,,,transactional_data,"Free-text notes and observations from the risk assessment including assumptions, limitations, and special considerations.",ISO 55000 Asset Management
asset,asset_registry,asset_risk_assessment,assessment_status,assessment_status,Assessment Status,STRING,,,,draft|submitted|under_review|approved|superseded|archived,transactional_data,Current lifecycle status of the risk assessment record.,ISO 55000 Asset Management
asset,asset_registry,asset_risk_assessment,assessment_type,assessment_type,Assessment Type,STRING,,,,initial|periodic|condition-triggered|event-triggered|pre-investment|post-incident,transactional_data,Type of risk assessment performed indicating the trigger or purpose of the assessment.,ISO 55000 Asset Management
