domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
clinical,patient_observation,biobank,biobank_id,biobank_id,Biobank Identifier,BIGINT,Y,,,,master_data,Primary key for biobank,
clinical,patient_observation,biobank,legal_entity_id,legal_entity_id,,BIGINT,,masterdata.legal_entity.legal_entity_id,,,master_data,Identifier of the parent organization or institution that operates the biobank.,
clinical,patient_observation,biobank,parent_biobank_id,parent_biobank_id,,BIGINT,,clinical.biobank.biobank_id,self_ref_fk,,master_data,Self-referencing FK on biobank (parent_biobank_id),
clinical,patient_observation,biobank,principal_investigator_id,principal_investigator_id,,BIGINT,,clinical.principal_investigator.principal_investigator_id,internal,,master_data,FK to clinical.principal_investigator,
clinical,patient_observation,biobank,site_id,site_id,,BIGINT,,manufacturing.site.site_id,,,master_data,Identifier of the physical facility or site where the biobank is located.,
clinical,patient_observation,biobank,accreditation_body,accreditation_body,,STRING,,,,,master_data,Name of the organization that granted accreditation to the biobank.,
clinical,patient_observation,biobank,accreditation_date,accreditation_date,,DATE,,,,,master_data,Date when the biobank received its current accreditation.,
clinical,patient_observation,biobank,accreditation_expiry_date,accreditation_expiry_date,,DATE,,,,,master_data,Date when the current accreditation expires and requires renewal.,
clinical,patient_observation,biobank,accreditation_status,accreditation_status,,STRING,,,,,master_data,Current accreditation status of the biobank against recognized quality standards.,
clinical,patient_observation,biobank,address_line1,address_line1,,STRING,,,"confidential,pii_address",,master_data,First line of the biobank facility physical address.,
clinical,patient_observation,biobank,address_line2,address_line2,,STRING,,,"confidential,pii_address",,master_data,"Second line of the biobank facility physical address (building, suite, floor).",
clinical,patient_observation,biobank,biobank_code,biobank_code,,STRING,,,,,master_data,Standardized alphanumeric code uniquely identifying the biobank in regulatory and research systems.,
clinical,patient_observation,biobank,biobank_name,biobank_name,,STRING,,,,,master_data,Official name of the biobank facility or biological sample repository.,
clinical,patient_observation,biobank,biobank_type,biobank_type,,STRING,,,,,master_data,Classification of the biobank based on its primary purpose and sample collection focus.,
clinical,patient_observation,biobank,city,city,,STRING,,,"confidential,pii_address",,master_data,City where the biobank facility is located.,
clinical,patient_observation,biobank,contact_email,contact_email,,STRING,,,"confidential,pii_email",,master_data,Primary email address for biobank inquiries and sample requests.,
clinical,patient_observation,biobank,contact_phone,contact_phone,,STRING,,,"confidential,pii_phone",,master_data,Primary phone number for biobank contact and coordination.,
clinical,patient_observation,biobank,country_code,country_code,,STRING,,,,,master_data,Three-letter ISO country code where the biobank is located.,
clinical,patient_observation,biobank,created_timestamp,created_timestamp,,TIMESTAMP,,,,,master_data,Timestamp when the biobank record was first created in the system.,
clinical,patient_observation,biobank,current_sample_count,current_sample_count,,INT,,,,,master_data,Total number of biological samples currently stored in the biobank.,
clinical,patient_observation,biobank,data_sharing_agreement_flag,data_sharing_agreement_flag,,BOOLEAN,,,,,master_data,Indicates whether the biobank has data sharing agreements in place with external partners.,
clinical,patient_observation,biobank,decommissioned_date,decommissioned_date,,DATE,,,,,master_data,Date when the biobank ceased operations or was decommissioned.,
clinical,patient_observation,biobank,established_date,established_date,,DATE,,,,,master_data,Date when the biobank was officially established and began operations.,
clinical,patient_observation,biobank,ethics_committee_approval_flag,ethics_committee_approval_flag,,BOOLEAN,,,,,master_data,Indicates whether the biobank has received ethics committee or institutional review board approval.,
clinical,patient_observation,biobank,gcp_compliant_flag,gcp_compliant_flag,,BOOLEAN,,,,,master_data,Indicates whether the biobank operates in compliance with Good Clinical Practice guidelines.,
clinical,patient_observation,biobank,gdpr_compliant_flag,gdpr_compliant_flag,,BOOLEAN,,,,,master_data,Indicates whether the biobank adheres to GDPR requirements for handling personal data and biological samples.,
clinical,patient_observation,biobank,hipaa_compliant_flag,hipaa_compliant_flag,,BOOLEAN,,,,,master_data,Indicates whether the biobank complies with HIPAA regulations for protected health information.,
clinical,patient_observation,biobank,informed_consent_required_flag,informed_consent_required_flag,,BOOLEAN,,,,,master_data,Indicates whether informed consent is required from donors for sample collection and storage.,
clinical,patient_observation,biobank,notes,notes,,STRING,,,,,master_data,"Additional free-text notes or comments about the biobank, its operations, or special considerations.",
clinical,patient_observation,biobank,postal_code,postal_code,,STRING,,,"confidential,pii_address",,master_data,Postal or ZIP code of the biobank facility location.,
clinical,patient_observation,biobank,primary_sample_types,primary_sample_types,,STRING,,,,,master_data,"Comma-separated list of primary biological sample types stored (e.g., blood, tissue, DNA, RNA, serum, plasma).",
clinical,patient_observation,biobank,quality_management_system,quality_management_system,,STRING,,,,,master_data,"Name or description of the quality management system implemented at the biobank (e.g., ISO 9001, ISO 15189).",
clinical,patient_observation,biobank,sample_access_policy,sample_access_policy,,STRING,,,,,master_data,Policy governing how external researchers and organizations can access biobank samples.,
clinical,patient_observation,biobank,state_province,state_province,,STRING,,,"confidential,pii_address",,master_data,State or province where the biobank facility is located.,
clinical,patient_observation,biobank,status,status,,STRING,,,,,master_data,Current operational status of the biobank facility in its lifecycle.,
clinical,patient_observation,biobank,storage_capacity_units,storage_capacity_units,,INT,,,,,master_data,"Maximum number of biological sample storage units (vials, tubes, boxes) the biobank can accommodate.",
clinical,patient_observation,biobank,storage_temperature_range,storage_temperature_range,,STRING,,,,,master_data,"Temperature range maintained for biological sample preservation (e.g., -80C to -196C for cryogenic storage).",
clinical,patient_observation,biobank,therapeutic_areas,therapeutic_areas,,STRING,,,,,master_data,"Comma-separated list of therapeutic areas or disease categories the biobank specializes in (e.g., oncology, immunology, rare diseases).",
clinical,patient_observation,biobank,updated_timestamp,updated_timestamp,,TIMESTAMP,,,,,master_data,Timestamp when the biobank record was last updated in the system.,
clinical,patient_observation,biospecimen,biospecimen_id,biospecimen_id,Biospecimen Identifier (ID),BIGINT,Y,,,,master_data,Unique identifier for the biospecimen record. Primary key for the biospecimen transactional entity.,"ICH GCP E6(R2), 21 CFR Part 11"
clinical,patient_observation,biospecimen,accounts_payable_id,accounts_payable_id,Biospecimen Accounts Payable Id (Foreign Key),BIGINT,,finance.accounts_payable.accounts_payable_id,,,master_data,"Foreign key linking to finance.accounts_payable. Business justification: Biospecimen processing and storage generate vendor invoices from central labs, biobanks, and specialty testing facilities. Required for trial cost tracking, vendor payment processing, and per-protocol",Internal - LLM Generated Cross-Domain Link
clinical,patient_observation,biospecimen,biobank_id,biobank_id,Biobank Identifier (ID),BIGINT,,clinical.biobank.biobank_id,,,master_data,The identifier assigned by the biobank or central repository where the specimen is stored. Used for long-term tracking and retrieval.,"LIMS Standard, ISO 20387"
clinical,patient_observation,biospecimen,clinical_enrollment_id,clinical_enrollment_id,Enrollment Id (Foreign Key),BIGINT,,clinical.clinical_enrollment.clinical_enrollment_id,,,master_data,Foreign key linking to clinical.enrollment. Business justification: Biospecimens are collected from enrolled subjects and may be analyzed by treatment arm for exploratory biomarker endpoints. Linking biospecimen to enrollment enables treatment arm stratification of bi,Internal - LLM Generated Cross-Domain Link
clinical,patient_observation,biospecimen,collected_by_employee_id,collected_by_employee_id,Collected By Employee Id (Foreign Key),BIGINT,,workforce.employee.employee_id,"confidential,pii",,master_data,"Foreign key linking to workforce.employee. Business justification: Biospecimen collection by site staff requires documented collector identity for chain of custody, GxP compliance, and training verification. Essential for regulatory inspections and biobank quality ma",Internal - LLM Generated Cross-Domain Link
clinical,patient_observation,biospecimen,crf_form_id,crf_form_id,Crf Form Id (Foreign Key),BIGINT,,clinical.crf_form.crf_form_id,,,master_data,Foreign key linking to clinical.crf_form. Business justification: Biospecimen collection is documented via CRF forms (biospecimen collection CRF) in the EDC system. Linking biospecimen to crf_form enables traceability to the data collection instrument and supports s,Internal - LLM Generated Cross-Domain Link
clinical,patient_observation,biospecimen,dmf_id,dmf_id,Dmf Id (Foreign Key),BIGINT,,regulatory.dmf.dmf_id,,,master_data,"Foreign key linking to regulatory.dmf. Business justification: Bioanalytical methods, reference standards, and assay validation for biospecimens are documented in Drug Master Files (Type II or III). CMC regulatory teams must reference the appropriate DMF when bio",Internal - LLM Generated Cross-Domain Link
