domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
crop,field_operations,fertilization_event,fertilization_event_id,fertilization_event_id,Fertilization Event ID,BIGINT,Y,,,,transactional_data,Unique system-generated identifier for each fertilizer application event record. Serves as the primary key for the fertilization_event data product in the crop domain Silver layer.,FMIS internal identifier standard; SAP S/4HANA PP module
crop,field_operations,fertilization_event,asset_id,asset_id,Equipment ID,BIGINT,,equipment.asset.asset_id,,,transactional_data,"Reference to the equipment or machinery used to perform the fertilizer application (e.g., spreader, sprayer, fertigation system). Links to the equipment master for maintenance and OEE tracking.",John Deere Operations Center fleet telematics; SAP S/4HANA PM module
crop,field_operations,fertilization_event,commodity_lot_id,commodity_lot_id,Commodity Lot Id (Foreign Key),BIGINT,,inventory.commodity_lot.commodity_lot_id,,,transactional_data,"Foreign key linking to inventory.commodity_lot. Business justification: Fertilization events consume a specific fertilizer lot. Linking to commodity_lot enables lot-level nutrient management traceability, MRL compliance reporting, and inventory depletion — required for nu",Internal - LLM Generated Cross-Domain Link
crop,field_operations,fertilization_event,employee_id,employee_id,Operator ID,BIGINT,,workforce.employee.employee_id,"confidential,pii",,transactional_data,Reference to the operator or equipment operator who performed the fertilizer application. Used for workforce accountability and GAP compliance traceability.,SAP SuccessFactors workforce management; GAP (Good Agricultural Practices) traceability
crop,field_operations,fertilization_event,equipment_field_operation_id,equipment_field_operation_id,Field Operation Id (Foreign Key),BIGINT,,equipment.equipment_field_operation.equipment_field_operation_id,,,transactional_data,"Foreign key linking to equipment.field_operation. Business justification: Fertilization events record agronomic application details; field_operation records equipment execution. Linking enables nutrient management plan compliance verification, application rate accuracy audi",Internal - LLM Generated Cross-Domain Link
crop,field_operations,fertilization_event,field_crop_plan_id,field_crop_plan_id,Field Crop Plan Id (Foreign Key),BIGINT,,crop.field_crop_plan.field_crop_plan_id,,,transactional_data,"Foreign key linking to crop.field_crop_plan. Business justification: fertilization_event links to vra_prescription and growing_season but has no direct FK to field_crop_plan. The field crop plan defines target N/P/K rates (target_n_rate_lbs_acre, target_p_rate_lbs_acre",Internal - LLM Generated Cross-Domain Link
crop,field_operations,fertilization_event,field_id,field_id,Field ID,BIGINT,,land.field.field_id,,,transactional_data,"Reference to the agricultural field on which the fertilizer application event occurred. Links to the field master record containing boundary, acreage, and soil zone data.",John Deere Operations Center field mapping; Esri ArcGIS GIS field registry
crop,field_operations,fertilization_event,growing_season_id,growing_season_id,Crop Season ID,BIGINT,,crop.growing_season.growing_season_id,,,transactional_data,Reference to the crop season or growing season during which this fertilization event occurred. Enables agronomic analysis by season and year.,Granular Farm Management; SAP S/4HANA PP crop season master
crop,field_operations,fertilization_event,input_product_id,input_product_id,Fertilizer Product ID,BIGINT,,product.input_product.input_product_id,,,transactional_data,"Reference to the fertilizer product or material applied during this event. Links to the product/material master containing NPK formulation, active ingredient, and regulatory details.",SAP S/4HANA MM material master; EPA fertilizer product registration
crop,field_operations,fertilization_event,land_soil_sample_id,land_soil_sample_id,Soil Sample Id (Foreign Key),BIGINT,,land.land_soil_sample.land_soil_sample_id,,,transactional_data,Foreign key linking to land.soil_sample. Business justification: Nutrient management plans and state regulatory compliance require traceability from each fertilization event back to the soil test (COA) that justified the application rate. NRCS and state nutrient ma,Internal - LLM Generated Cross-Domain Link
crop,field_operations,fertilization_event,management_zone_id,management_zone_id,Management Zone Id (Foreign Key),BIGINT,,land.management_zone.management_zone_id,,,transactional_data,Foreign key linking to land.management_zone. Business justification: VRA fertilization events are executed at management zone level. Precision agriculture systems track nutrient application by zone for zone-level ROI analysis and variable-rate compliance reporting. No ,Internal - LLM Generated Cross-Domain Link
crop,field_operations,fertilization_event,purchase_order_id,purchase_order_id,Purchase Order Id (Foreign Key),BIGINT,,procurement.purchase_order.purchase_order_id,,,transactional_data,Foreign key linking to procurement.purchase_order. Business justification: Nutrient management audits and FSMA compliance require traceability from fertilizer application events back to the procurement PO and vendor. Replaces denormalized supplier_name. A domain expert expec,Internal - LLM Generated Cross-Domain Link
crop,field_operations,fertilization_event,spray_window_id,spray_window_id,Spray Window Id (Foreign Key),BIGINT,,weather.spray_window.spray_window_id,,,transactional_data,"Foreign key linking to weather.spray_window. Business justification: Liquid and foliar fertilizer applications require compliant weather windows (wind, rain-free period, temperature) for BMP and nutrient management plan compliance. Linking fertilization_event to the au",Internal - LLM Generated Cross-Domain Link
crop,field_operations,fertilization_event,vra_prescription_id,vra_prescription_id,Variable Rate Application (VRA) Prescription ID,BIGINT,,crop.vra_prescription.vra_prescription_id,"restricted,pii_health",,transactional_data,Reference to the Variable Rate Application (VRA) prescription that authorized or guided this fertilization event. Null if the application was performed without a prescription (flat-rate application).,Trimble Ag Software VRA prescription module; John Deere Operations Center
crop,field_operations,fertilization_event,actual_rate,actual_rate,Actual Application Rate,"DECIMAL(10,4)",,,,,transactional_data,"The actual fertilizer application rate recorded during the field operation, expressed in the unit defined by rate_unit. Sourced from John Deere Operations Center or Trimble Ag as-applied data. Compared against planned_rate for VRA compliance and agronomic audit.",John Deere Operations Center as-applied data; Trimble Ag Software; GLOBALG.A.P. record-keeping
crop,field_operations,fertilization_event,application_date,application_date,Application Date,DATE,,,,,transactional_data,"The calendar date on which the fertilizer was applied to the field. This is the principal real-world business event date used for agronomic scheduling, PHI/REI compliance tracking, and nutrient management reporting.",USDA NRCS Nutrient Management Practice Standard 590; EPA nutrient management reporting; GLOBALG.A.P.
crop,field_operations,fertilization_event,application_end_timestamp,application_end_timestamp,Application End Timestamp,TIMESTAMP,,,,,transactional_data,"Precise date and time when the fertilizer application operation was completed in the field. Used to calculate application duration, equipment OEE, and to confirm REI start time.",John Deere Operations Center telematics; OEE (Overall Equipment Effectiveness) calculation; EPA REI compliance
crop,field_operations,fertilization_event,application_method,application_method,Application Method,STRING,,,,,transactional_data,The agronomic method used to apply the fertilizer to the field or crop. Determines nutrient placement efficiency and environmental risk profile. [ENUM-REF-CANDIDATE: broadcast|banded|side_dress|fertigation|foliar|injection|top_dress — promote to reference product],USDA NRCS Nutrient Management Practice Standard 590; GAP (Good Agricultural Practices); Trimble Ag Software application method codes
crop,field_operations,fertilization_event,application_start_timestamp,application_start_timestamp,Application Start Timestamp,TIMESTAMP,,,,,transactional_data,Precise date and time when the fertilizer application operation began in the field. Sourced from John Deere Operations Center or Trimble Ag telematics. Used for REI (Restricted Entry Interval) compliance and equipment utilization analysis.,John Deere Operations Center telematics; EPA REI (Restricted Entry Interval) compliance; OSHA worker safety
crop,field_operations,fertilization_event,application_status,application_status,Application Status,STRING,,,,planned|in_progress|completed|cancelled|voided,transactional_data,Current lifecycle status of the fertilization event workflow. 'planned' indicates a scheduled event not yet executed; 'in_progress' indicates active application; 'completed' indicates successful execution; 'cancelled' indicates the event was called off before execution; 'voided' indicates a data correction.,SAP S/4HANA PP production order status; GLOBALG.A.P. field activity record
crop,field_operations,fertilization_event,application_type,application_type,Application Type,STRING,,,,pre_plant|at_plant|side_dress|top_dress|in_season|post_harvest,transactional_data,"Agronomic timing classification of the fertilizer application relative to the crop growth stage. Distinguishes pre-plant, at-plant, and in-season applications for nutrient management planning and compliance. [ENUM-REF-CANDIDATE: pre_plant|at_plant|side_dress|top_dress|in_season|post_harvest — promote to reference product]",USDA NRCS Nutrient Management Practice Standard 590; GLOBALG.A.P. crop nutrition records
crop,field_operations,fertilization_event,created_timestamp,created_timestamp,Record Created Timestamp,TIMESTAMP,,,,,transactional_data,"Date and time when this fertilization event record was first created in the system. Serves as the audit creation timestamp for data governance, lineage tracking, and Silver layer ingestion auditing.",ISO 8601 timestamp standard; Databricks Lakehouse Silver layer audit trail; GLOBALG.A.P. record-keeping requirements
crop,field_operations,fertilization_event,event_number,event_number,Fertilization Event Number,STRING,,,,^FERT-[0-9]{4}-[0-9]{6}$,transactional_data,"Externally-known business identifier for the fertilization event, used in field records, agronomic reports, and regulatory submissions. Format: FERT-{YEAR}-{SEQUENCE}.",FMIS (Farm Management Information System) event numbering; GLOBALG.A.P. record-keeping requirements
crop,field_operations,fertilization_event,fertilizer_form,fertilizer_form,Fertilizer Form,STRING,,,,dry_granular|liquid|anhydrous_ammonia|suspension|slow_release|controlled_release,transactional_data,"Physical form of the fertilizer product applied. Determines equipment requirements, handling procedures, and SDS (Safety Data Sheet) compliance. [ENUM-REF-CANDIDATE: dry_granular|liquid|anhydrous_ammonia|suspension|slow_release|controlled_release — promote to reference product]",EPA fertilizer product registration; SDS (Safety Data Sheet) requirements; OSHA hazardous materials handling
crop,field_operations,fertilization_event,is_gmo_derived,is_gmo_derived,Genetically Modified Organism (GMO) Derived Flag,BOOLEAN,,,,,transactional_data,"Indicates whether the fertilizer product contains or is derived from GMO (Genetically Modified Organism) sources (e.g., certain biofertilizers). Relevant for organic certification exclusion and international export compliance.",USDA APHIS GMO regulatory framework; GLOBALG.A.P. GMO traceability; EU GMO labeling regulations for export
crop,field_operations,fertilization_event,is_organic,is_organic,Organic Fertilizer Flag,BOOLEAN,,,,,transactional_data,Indicates whether the fertilizer product applied is certified organic under the USDA National Organic Program (NOP). True = organic-approved input; False = conventional synthetic fertilizer. Critical for organic certification compliance and audit trails.,USDA National Organic Program (NOP); USDA Agricultural Marketing Service organic certification; GLOBALG.A.P. organic module
crop,field_operations,fertilization_event,is_vra_applied,is_vra_applied,Variable Rate Application (VRA) Applied Flag,BOOLEAN,,,,,transactional_data,"Indicates whether this fertilization event was executed using Variable Rate Application (VRA) technology, applying different rates across management zones within the field. True = VRA prescription followed; False = flat-rate uniform application.",Trimble Ag Software VRA module; John Deere Operations Center precision agriculture; GLOBALG.A.P. precision farming records
crop,field_operations,fertilization_event,last_updated_timestamp,last_updated_timestamp,Record Last Updated Timestamp,TIMESTAMP,,,,,transactional_data,"Date and time when this fertilization event record was most recently modified. Used for change data capture (CDC), Silver layer incremental loads, and audit trail compliance.",ISO 8601 timestamp standard; Databricks Lakehouse CDC pattern; GLOBALG.A.P. record amendment tracking
