domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
content,asset_management,asset,asset_id,asset_id,Asset Identifier,BIGINT,Y,,,,master_data,Primary key for asset,
content,asset_management,asset,age_rating_cert_id,age_rating_cert_id,Age Rating Cert Id (Foreign Key),BIGINT,,compliance.age_rating_cert.age_rating_cert_id,,,master_data,"Foreign key linking to compliance.age_rating_cert. Business justification: Assets (textures, audio, models) are evaluated by rating authorities for content descriptors (violence, language, sexual content). Asset approval gates require rating impact assessment before producti",Internal - LLM Generated Cross-Domain Link
content,asset_management,asset,cost_center_id,cost_center_id,Cost Center Id (Foreign Key),BIGINT,,finance.cost_center.cost_center_id,,,master_data,"Foreign key linking to finance.cost_center. Business justification: Asset development costs are allocated to cost centers for budgeting, capitalization decisions, and studio P&L reporting. Finance tracks asset creation costs by cost center for variance analysis and ca",Internal - LLM Generated Cross-Domain Link
content,asset_management,asset,created_by_employee_id,created_by_employee_id,Created By Employee Id (Foreign Key),BIGINT,,workforce.employee.employee_id,"confidential,pii",,master_data,"Foreign key linking to workforce.employee. Business justification: Asset creation tracking is fundamental in game development for IP rights attribution, performance reviews, and audit trails. Every asset must have a creator tracked for legal and operational accountab",Internal - LLM Generated Cross-Domain Link
content,asset_management,asset,game_server_id,game_server_id,Game Server Id (Foreign Key),BIGINT,,infrastructure.game_server.game_server_id,,,master_data,"Foreign key linking to infrastructure.game_server. Business justification: Game servers load specific asset versions at runtime. Operations teams track which assets are deployed to which servers for performance troubleshooting, rollback coordination, and version mismatch dia",Internal - LLM Generated Cross-Domain Link
content,asset_management,asset,game_studio_id,game_studio_id,Studio ID,BIGINT,,studio.game_studio.game_studio_id,,,master_data,Identifier of the game development studio or team that created or owns the asset. Links to the Studio domain for organizational tracking.,Internal Studio Management Standard
content,asset_management,asset,game_title_id,game_title_id,Game Title ID,BIGINT,,title.game_title.game_title_id,,,master_data,Identifier of the game title or project for which the asset was created. Links to the Game Title domain for product-level tracking.,Internal Game Title Catalog
content,asset_management,asset,licensed_ip_id,licensed_ip_id,Licensed Ip Id (Foreign Key),BIGINT,,licensing.licensed_ip.licensed_ip_id,,,master_data,"Foreign key linking to licensing.licensed_ip. Business justification: Game assets (textures, models, audio) frequently embed licensed IP (middleware SDKs, music tracks, brand logos). IP clearance tracking is mandatory for platform certification, rating board submissions",Internal - LLM Generated Cross-Domain Link
content,asset_management,asset,parent_asset_id,parent_asset_id,Parent Asset ID,BIGINT,,content.asset.asset_id,,,master_data,"Reference to the parent or base asset ID if this asset is a variant (LOD variant, locale variant, platform variant). Null for base assets.",Internal Asset Hierarchy Standard
content,asset_management,asset,approval_date,approval_date,Approval Date,DATE,,,,,master_data,Date when the asset was approved for production use by QA (Quality Assurance) or content review team.,Content Approval Workflow Standard
content,asset_management,asset,asset_code,asset_code,Asset Code,STRING,,,,,master_data,Unique business identifier or SKU (Stock Keeping Unit) for the asset used across development tools and pipelines.,Internal Asset Management Standard
content,asset_management,asset,asset_description,asset_description,Asset Description,STRING,,,,,master_data,"Detailed textual description of the asset including its purpose, visual or audio characteristics, and usage notes for developers and artists.",Internal Documentation Standard
content,asset_management,asset,asset_name,asset_name,Asset Name,STRING,,,,,master_data,Human-readable name of the digital asset as it appears in the content management system and game engine.,Perforce Helix Core Asset Naming Convention
content,asset_management,asset,asset_type,asset_type,Asset Type,STRING,,,,,master_data,Classification of the digital asset by its primary content type in the game development pipeline. [ENUM-REF-CANDIDATE: art|audio|texture|mesh|animation|shader|vfx|ui_element|video|script — 10 candidates stripped; promote to reference product],Unity and Unreal Engine Asset Classification
content,asset_management,asset,audio_bit_depth,audio_bit_depth,Audio Bit Depth,INT,,,,,master_data,"Bit depth for audio assets (e.g., 16, 24). Applicable only to audio asset types. Affects dynamic range and audio fidelity.",Audio Engineering Society (AES) Standards
content,asset_management,asset,audio_channel_config,audio_channel_config,Audio Channel Configuration,STRING,,,,mono|stereo|5.1|7.1|atmos,master_data,"Channel configuration for audio assets (mono, stereo, 5.1 surround, 7.1 surround, Dolby Atmos). Applicable only to audio asset types.",Platform Audio Requirements
content,asset_management,asset,audio_middleware_format,audio_middleware_format,Audio Middleware Format,STRING,,,,wwise|fmod|unity_audio|unreal_audio|proprietary,master_data,"Audio middleware system format for the asset (Wwise, FMOD, Unity Audio, Unreal Audio, proprietary). Applicable only to audio asset types.",Audio Middleware Integration Documentation
