domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
customs,declaration_filing,ams_filing,ams_filing_id,ams_filing_id,Automated Manifest System (AMS) Filing ID,BIGINT,Y,,,,transactional_data,Unique identifier for the AMS filing record. Primary key.,US CBP AMS Regulations
customs,declaration_filing,ams_filing,agreement_id,agreement_id,Agreement Id (Foreign Key),BIGINT,,contract.agreement.agreement_id,,,transactional_data,"Foreign key linking to contract.agreement. Business justification: AMS filings operate under service agreements that govern filing obligations, timing commitments, cost allocation, and penalty terms. Linking AMS to agreement supports SLA compliance tracking, penalty ",Internal - LLM Generated Cross-Domain Link
customs,declaration_filing,ams_filing,carrier_id,carrier_id,Carrier Id (Foreign Key),BIGINT,,network.carrier.carrier_id,,,transactional_data,"Foreign key linking to network.carrier. Business justification: AMS (Automated Manifest System) filings require carrier identification for CBP advance manifest compliance. Carrier FK enables validation of SCAC/IATA codes, vessel/flight details, and supports regula",Internal - LLM Generated Cross-Domain Link
customs,declaration_filing,ams_filing,consignment_id,consignment_id,Consignment Id (Foreign Key),BIGINT,,shipment.consignment.consignment_id,,,transactional_data,"Foreign key linking to shipment.consignment. Business justification: AMS filing is required for air/ocean cargo to US for security screening. CBP hold resolution, exam coordination, and release authorization depend on linking AMS to consignment. Mandatory for US-bound ",Internal - LLM Generated Cross-Domain Link
customs,declaration_filing,ams_filing,filed_by_employee_id,filed_by_employee_id,Filed By Employee Id (Foreign Key),BIGINT,,workforce.employee.employee_id,"confidential,pii",,transactional_data,Foreign key linking to workforce.employee. Business justification: AMS filings submitted by licensed customs brokers (employees). CBP regulatory requirement for manifest data. Critical for tracking individual broker performance and regulatory compliance.,Internal - LLM Generated Cross-Domain Link
customs,declaration_filing,ams_filing,importer_trade_party_id,importer_trade_party_id,Importer Trade Party Id (Foreign Key),BIGINT,,customs.trade_party.trade_party_id,,,transactional_data,Foreign key linking to customs.trade_party. Business justification: Importer of record in AMS filing is a trade party. Adding importer_trade_party_id FK to trade_party.trade_party_id normalizes the importer reference. Cardinality: N:1 (many AMS filings can have the sa,Internal - LLM Generated Cross-Domain Link
customs,declaration_filing,ams_filing,port_of_unlading_network_node_id,port_of_unlading_network_node_id,Port Of Unlading Network Node Id (Foreign Key),BIGINT,,route.network_node.network_node_id,,,transactional_data,Foreign key linking to route.network_node. Business justification: AMS advance manifest submissions must specify unlading port for CBP security screening. Required for manifest compliance validation and arrival port coordination. Replaces denormalized port_of_unladin,Internal - LLM Generated Cross-Domain Link
customs,declaration_filing,ams_filing,shipper_supplier_id,shipper_supplier_id,Shipper Supplier Id (Foreign Key),BIGINT,,procurement.supplier.supplier_id,,,transactional_data,"Foreign key linking to procurement.supplier. Business justification: AMS cargo manifest filings identify shipper (often supplier) for CBP advance screening. Carriers reference supplier master for accurate shipper details in manifest submissions, enabling denied party s",Internal - LLM Generated Cross-Domain Link
customs,declaration_filing,ams_filing,actual_arrival_date,actual_arrival_date,Actual Arrival Date,DATE,,,,,transactional_data,The actual date when the conveyance arrived at the US port of unlading. Updated after arrival occurs.,US CBP AMS Regulations
customs,declaration_filing,ams_filing,amendment_number,amendment_number,Amendment Number,INT,,,,,transactional_data,"Sequential number tracking amendments to the original AMS filing. Zero for original filing, incremented for each amendment.",US CBP AMS Regulations
