domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
athletics,eligibility_compliance,athletic_eligibility,athletic_eligibility_id,athletic_eligibility_id,Athletic Eligibility ID,BIGINT,Y,,,,master_data,Unique identifier for the athletic eligibility record.,
athletics,eligibility_compliance,athletic_eligibility,academic_program_id,academic_program_id,Enrolled Program Id (Foreign Key),BIGINT,,curriculum.academic_program.academic_program_id,,,master_data,Foreign key linking to curriculum.academic_program. Business justification: Eligibility certification explicitly requires verification of enrollment in a degree program and calculation of progress_toward_degree_percentage against that program's requirements. Compliance office,Internal - LLM Generated Cross-Domain Link
athletics,eligibility_compliance,athletic_eligibility,employee_id,employee_id,Certified By Staff ID,BIGINT,,hr.employee.employee_id,"confidential,pii",,master_data,Identifier of the compliance staff member who certified this eligibility record.,
athletics,eligibility_compliance,athletic_eligibility,policy_id,policy_id,Policy Id (Foreign Key),BIGINT,,compliance.policy.policy_id,,,master_data,"Foreign key linking to compliance.policy. Business justification: Institutional eligibility policies supplement NCAA regulations with institution-specific requirements. Real business process: eligibility officers apply institutional policies (e.g., minimum GPA above",Internal - LLM Generated Cross-Domain Link
athletics,eligibility_compliance,athletic_eligibility,regulatory_requirement_id,regulatory_requirement_id,Regulatory Requirement Id (Foreign Key),BIGINT,,compliance.regulatory_requirement.regulatory_requirement_id,,,master_data,Foreign key linking to compliance.regulatory_requirement. Business justification: Eligibility determinations must cite specific NCAA/conference bylaws (regulatory requirements). Real business process: eligibility certification officers reference specific regulatory requirements (e.,Internal - LLM Generated Cross-Domain Link
athletics,eligibility_compliance,athletic_eligibility,sport_id,sport_id,Sport Id (Foreign Key),BIGINT,,athletics.sport.sport_id,,,master_data,Foreign key linking to athletics.sport. Business justification: athletic_eligibility tracks eligibility for a specific sport. Currently uses sport_code/sport_name but lacks FK to sport master table. Adding sport_id enables JOIN to retrieve sport_name and other spo,Internal - LLM Generated Cross-Domain Link
athletics,eligibility_compliance,athletic_eligibility,student_athlete_id,student_athlete_id,Student-Athlete ID,BIGINT,,athletics.student_athlete.student_athlete_id,,,master_data,Identifier of the student-athlete whose eligibility is being tracked. Links to the student master record.,FERPA
athletics,eligibility_compliance,athletic_eligibility,title_ix_case_id,title_ix_case_id,Title Ix Case Id (Foreign Key),BIGINT,,compliance.title_ix_case.title_ix_case_id,,,master_data,"Foreign key linking to compliance.title_ix_case. Business justification: Title IX cases can result in interim measures or sanctions affecting athletic eligibility (suspension from team activities, no-contact orders). Real business process: eligibility officers place compli",Internal - LLM Generated Cross-Domain Link
athletics,eligibility_compliance,athletic_eligibility,academic_year,academic_year,Academic Year,STRING,,,,,master_data,"The academic year for which this eligibility record applies (e.g., 2023-2024).",IPEDS Academic Year Definition
athletics,eligibility_compliance,athletic_eligibility,amateurism_certification_status,amateurism_certification_status,Amateurism Certification Status,STRING,,,,Certified|Not Certified|Pending|Expired,master_data,Status of the student-athlete's amateurism certification through the NCAA Eligibility Center.,NCAA Bylaw 12 - Amateurism
athletics,eligibility_compliance,athletic_eligibility,athletic_scholarship_flag,athletic_scholarship_flag,Athletic Scholarship Flag,BOOLEAN,,,,,master_data,Indicates whether the student-athlete is receiving an athletic scholarship.,NCAA Bylaw 15 - Financial Aid
athletics,eligibility_compliance,athletic_eligibility,certification_timestamp,certification_timestamp,Certification Timestamp,TIMESTAMP,,,,,master_data,The date and time when this eligibility record was certified.,
athletics,eligibility_compliance,athletic_eligibility,compliance_hold_flag,compliance_hold_flag,Compliance Hold Flag,BOOLEAN,,,,,master_data,Indicates whether a compliance hold has been placed on the student-athlete preventing participation until resolved.,NCAA Bylaw 19 - Enforcement
athletics,eligibility_compliance,athletic_eligibility,compliance_hold_reason,compliance_hold_reason,Compliance Hold Reason,STRING,,,,,master_data,Description of the reason for any compliance hold placed on the student-athlete.,NCAA Bylaw 19 - Enforcement
athletics,eligibility_compliance,athletic_eligibility,credit_hours_enrolled,credit_hours_enrolled,Credit Hours (CR) Enrolled,"DECIMAL(5,2)",,,,,master_data,The number of credit hours in which the student-athlete is currently enrolled.,NCAA Bylaw 14.1.8 - Full-Time Enrollment
athletics,eligibility_compliance,athletic_eligibility,cumulative_gpa,cumulative_gpa,Cumulative Grade Point Average (GPA),"DECIMAL(4,3)",,,,,master_data,The cumulative GPA of the student-athlete across all terms.,NCAA Bylaw 14.4.3 - GPA Requirements
athletics,eligibility_compliance,athletic_eligibility,degree_applicable_credits_earned,degree_applicable_credits_earned,Degree-Applicable Credits Earned,"DECIMAL(6,2)",,,,,master_data,The total number of degree-applicable credit hours earned by the student-athlete.,NCAA Bylaw 14.4.3.2 - Progress-Toward-Degree Requirements
athletics,eligibility_compliance,athletic_eligibility,division_level,division_level,Division Level,STRING,,,,,master_data,"The athletic division level under which the student-athlete competes (NCAA DI, DII, DIII, NAIA, or NJCAA). [ENUM-REF-CANDIDATE: NCAA Division I|NCAA Division II|NCAA Division III|NAIA|NJCAA Division I|NJCAA Division II|NJCAA Division III — 7 candidates stripped; promote to reference product]",NCAA Division Manual
