domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
asset,infrastructure_registry,asset_class,asset_class_id,asset_class_id,Asset Class ID,BIGINT,Y,,,,reference_data,"Unique surrogate identifier for the asset class record in the enterprise asset management system. Primary key for the asset_class reference taxonomy. [ROLE: REFERENCE_LOOKUP — this entity is a reference taxonomy/classification table defining the hierarchy of utility asset types; per-role minimums are exempt, but MASTER_RESOURCE categories are applied for completeness given the entity carries rich business metadata beyond a simple code list.]",IBM Maximo Asset Management (CMMS); ISO 55001 Asset Management
asset,infrastructure_registry,asset_class,created_by_employee_id,created_by_employee_id,Created By Employee Id (Foreign Key),BIGINT,,workforce.employee.employee_id,"confidential,pii",,reference_data,"Foreign key linking to workforce.employee. Business justification: Asset class definition authorship for configuration management, subject matter expert identification, and asset hierarchy governance.",Internal - LLM Generated Cross-Domain Link
asset,infrastructure_registry,asset_class,ami_applicable,ami_applicable,Advanced Metering Infrastructure (AMI) Applicable Flag,BOOLEAN,,,,,reference_data,Indicates whether assets of this class are part of the AMI/AMR metering infrastructure managed via the Sensus FlexNet AMI Platform. True for smart meters and communication endpoints; False for all other asset classes.,Sensus FlexNet AMI Platform; AWWA M6 Water Meters
asset,infrastructure_registry,asset_class,asset_domain,asset_domain,Asset Operational Domain,STRING,,,,,reference_data,"Operational domain to which this asset class primarily belongs within the utility (e.g., Water Treatment, Water Distribution, Wastewater Collection, Wastewater Treatment, Metering, Fleet, Facilities, Cross-Domain). Drives domain-specific maintenance strategies and regulatory reporting alignment. [ENUM-REF-CANDIDATE: Water Treatment|Water Distribution|Wastewater Collection|Wastewater Treatment|Metering|Fleet|Facilities|Cross-Domain — promote to reference product]",AWWA Asset Management Guidance; EPA SDWA; EPA CWA
asset,infrastructure_registry,asset_class,capex_threshold_usd,capex_threshold_usd,Capital Expenditure (CAPEX) Capitalization Threshold (USD),"DECIMAL(15,2)",,,,,reference_data,Minimum acquisition or renewal cost in USD above which expenditures on assets of this class are capitalized as CAPEX rather than expensed as OPEX. Aligned with GAAP/GASB capitalization policies and SAP FI/CO asset accounting rules.,GAAP; GASB 34; SAP FI/CO Asset Accounting
asset,infrastructure_registry,asset_class,cip_program_category,cip_program_category,Capital Improvement Program (CIP) Category,STRING,,,,,reference_data,CIP program category under which capital renewal projects for assets of this class are budgeted and tracked. Aligns with the utility's multi-year CIP planning structure in SAP PS and financial reporting to the Public Utilities Commission. [ENUM-REF-CANDIDATE: Water Supply|Water Treatment|Water Distribution|Wastewater Collection|Wastewater Treatment|Metering|Facilities|Fleet|Cross-Program — promote to reference product],SAP PS; GASB 34; Public Utilities Commission; AWWA Asset Management Guidance
asset,infrastructure_registry,asset_class,class_code,class_code,Asset Class Code,STRING,,,,"^[A-Z0-9_]{2,20}$",reference_data,"Short alphanumeric code uniquely identifying the asset class within the enterprise taxonomy (e.g., MECH-PUMP, ELEC-TRANS, CIVIL-PIPE). Used as the externally-known business identifier in IBM Maximo, SAP PM, and GIS integrations.",IBM Maximo Asset Management (CMMS); SAP PM; ISO 55001 Asset Management
asset,infrastructure_registry,asset_class,class_description,class_description,Asset Class Description,STRING,,,,,reference_data,"Detailed narrative description of the asset class, including its functional role within water or wastewater operations, typical installation context, and distinguishing characteristics from adjacent classes.",IBM Maximo Asset Management (CMMS); ISO 55001 Asset Management
asset,infrastructure_registry,asset_class,class_name,class_name,Asset Class Name,STRING,,,,,reference_data,"Human-readable name of the asset class (e.g., 'Centrifugal Pump', 'Distribution Main Pipe', 'UV Disinfection Unit'). Used in reports, work orders, and CAPEX planning documents.",IBM Maximo Asset Management (CMMS); AWWA Asset Management Guidance
asset,infrastructure_registry,asset_class,class_status,class_status,Asset Class Status,STRING,,,,Active|Inactive|Deprecated|Under Review,reference_data,Current lifecycle status of the asset class record within the reference taxonomy. 'Active' classes are available for new asset registrations; 'Deprecated' classes are retained for historical assets but cannot be assigned to new assets.,IBM Maximo Asset Management (CMMS); ISO 55001 Asset Management
