domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
account,account_master,account_position,account_position_id,account_position_id,account_position Identifier,BIGINT,Y,,,,association_data,Primary key for account_position,
account,account_master,account_position,custodial_account_id,custodial_account_id,Position - Custodial Account Id,BIGINT,,account.custodial_account.custodial_account_id,,,association_data,Foreign key linking to the custodial account that holds this position,Internal - M:N Association FK
account,account_master,account_position,instrument_id,instrument_id,Position - Instrument Id,BIGINT,,security.instrument.instrument_id,,,association_data,Foreign key linking to the financial instrument held in this position,Internal - M:N Association FK
account,account_master,account_position,lot_id,lot_id,Tax Lot Identifier,BIGINT,,wealth.tax_lot.tax_lot_id,,,association_data,Identifier for the specific tax lot within the position. Multiple lots may exist for the same account-instrument combination with different acquisition dates and cost bases.,IRS Publication 550
account,account_master,account_position,position_id,position_id,Position Identifier,BIGINT,,trade.trade_position.trade_position_id,,,association_data,Unique identifier for this custodial account position. Primary key.,
account,account_master,account_position,acquisition_date,acquisition_date,Acquisition Date,DATE,,,,,association_data,Date when this position or tax lot was acquired by the custodial account. Used for holding period calculations and tax reporting.,
account,account_master,account_position,cost_basis,cost_basis,Cost Basis,"DECIMAL(18,2)",,,,,association_data,Total cost basis of the position in the account's base currency. Used for gain/loss calculations and tax reporting (Form 1099-B).,IRS Publication 550
account,account_master,account_position,created_timestamp,created_timestamp,Position Creation Timestamp,TIMESTAMP,,,,,association_data,System timestamp when this position record was created.,
account,account_master,account_position,income_earned_ytd,income_earned_ytd,Income Earned Year-to-Date,"DECIMAL(18,2)",,,,,association_data,"Total income (dividends, interest, distributions) earned from this position in the current calendar year. Used for tax reporting (Form 1099-DIV, 1099-INT).","IRS Form 1099-DIV, 1099-INT"
account,account_master,account_position,last_updated_timestamp,last_updated_timestamp,Position Last Updated Timestamp,TIMESTAMP,,,,,association_data,System timestamp when this position record was last modified.,
account,account_master,account_position,last_valuation_date,last_valuation_date,Last Valuation Date,DATE,,,,,association_data,Date when this position was last marked-to-market and valued. Typically aligns with the account's last valuation date but may differ for illiquid securities.,
