domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
asset,asset_integrity,abandonment_plan,abandonment_plan_id,abandonment_plan_id,Abandonment Plan Identifier (ID),BIGINT,Y,,,,master_data,Unique identifier for the abandonment plan record. Primary key for the abandonment plan entity.,Internal Data Management Standard
asset,asset_integrity,abandonment_plan,asset_id,asset_id,Asset Identifier (ID),BIGINT,,asset.asset.asset_id,,,master_data,"Reference to the asset (well, facility, pipeline) subject to abandonment or decommissioning. Links to the asset master registry.",ISO 55001 Asset Management
asset,asset_integrity,abandonment_plan,compliance_regulatory_filing_id,compliance_regulatory_filing_id,Regulatory Filing Id (Foreign Key),BIGINT,,compliance.compliance_regulatory_filing.compliance_regulatory_filing_id,,,master_data,"Foreign key linking to compliance.regulatory_filing. Business justification: Abandonment plans submitted as regulatory filings to state/federal agencies for approval. Core requirement for well plugging, facility decommissioning, and ARO management.",Internal - LLM Generated Cross-Domain Link
asset,asset_integrity,abandonment_plan,contract_id,contract_id,Procurement Contract Id (Foreign Key),BIGINT,,procurement.contract.contract_id,,,master_data,"Foreign key linking to procurement.procurement_contract. Business justification: Well/facility abandonment typically executed under specialized service contracts (P&A, decommissioning, environmental remediation). Links abandonment execution to contractor agreements, day rates, and",Internal - LLM Generated Cross-Domain Link
asset,asset_integrity,abandonment_plan,contractor_id,contractor_id,Contractor Identifier (ID),BIGINT,,workforce.contractor.contractor_id,,,master_data,Reference to the primary contractor or service company responsible for executing the abandonment or decommissioning work.,Contractor Management System
asset,asset_integrity,abandonment_plan,cost_center_id,cost_center_id,Cost Center Id (Foreign Key),BIGINT,,finance.cost_center.cost_center_id,,,master_data,"Foreign key linking to finance.cost_center. Business justification: Abandonment costs must be tracked against cost centers for ARO liability management, decommissioning spend authorization, and regulatory cost reporting - required for asset retirement obligation accou",Internal - LLM Generated Cross-Domain Link
asset,asset_integrity,abandonment_plan,customer_counterparty_id,customer_counterparty_id,Customer Counterparty Id (Foreign Key),BIGINT,,customer.customer_counterparty.customer_counterparty_id,,,master_data,"Foreign key linking to customer.customer_counterparty. Business justification: Abandonment plans for JV assets or divested facilities require tracking the counterparty for cost sharing (working interest allocation), regulatory approval coordination, ARO liability allocation, and",Internal - LLM Generated Cross-Domain Link
asset,asset_integrity,abandonment_plan,employee_id,employee_id,Operator Identifier (ID),BIGINT,,workforce.employee.employee_id,"confidential,pii",,master_data,Reference to the operator entity responsible for the abandonment plan and regulatory compliance. May differ from asset owner in joint venture scenarios.,JOA (Joint Operating Agreement)
asset,asset_integrity,abandonment_plan,finance_afe_id,finance_afe_id,Finance Afe Id (Foreign Key),BIGINT,,finance.finance_afe.finance_afe_id,,,master_data,"Foreign key linking to finance.finance_afe. Business justification: Abandonment projects require AFE approval and tracking for ARO spend authorization, decommissioning cost control, and regulatory cost reporting - mandated for asset retirement obligation management.",Internal - LLM Generated Cross-Domain Link
asset,asset_integrity,abandonment_plan,injection_well_id,injection_well_id,Injection Well Id (Foreign Key),BIGINT,,production.injection_well.injection_well_id,,,master_data,"Foreign key linking to production.injection_well. Business justification: Injection well abandonment requires specific regulatory compliance (EPA UIC permit closure, mechanical integrity demonstration, zone isolation). Direct FK enables injection well-specific abandonment t",Internal - LLM Generated Cross-Domain Link
