domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
athlete,contract_administration,athlete_contract,athlete_contract_id,athlete_contract_id,Contract ID,BIGINT,Y,,,,master_data,Unique surrogate identifier for the athlete contract record in the lakehouse silver layer. Primary key for the athlete.contract data product.,SAP S/4HANA SD Module — Sales Contract Object
athlete,contract_administration,athlete_contract,agent_id,agent_id,Agent ID,BIGINT,,athlete.agent.agent_id,,,master_data,Reference to the certified player agent or agency representing the athlete in contract negotiations.,NFLPA/NBPA/MLBPA Agent Certification Registry
athlete,contract_administration,athlete_contract,athlete_athlete_profile_id,athlete_athlete_profile_id,Athlete ID,BIGINT,,athlete.athlete_profile.athlete_profile_id,,,master_data,Reference to the athlete (player) who is the primary party to this contract. Links to the athlete master record.,SAP SuccessFactors HCM — Employee Record
athlete,contract_administration,athlete_contract,athlete_profile_id,athlete_profile_id,Athlete ID,BIGINT,,athlete.athlete_profile.athlete_profile_id,,,master_data,Reference to the athlete (player) who is the primary party to this contract. Links to the athlete master record.,SAP SuccessFactors HCM — Employee Record
athlete,contract_administration,athlete_contract,cba_agreement_id,cba_agreement_id,Cba Agreement Id (Foreign Key),BIGINT,,league.cba_agreement.cba_agreement_id,,,master_data,"Foreign key linking to league.cba_agreement. Business justification: Every player contract is governed by a specific CBA version — salary minimums, cap hit calculations, grievance procedures, and option rules all derive from the governing CBA. Compliance audits and arb",Internal - LLM Generated Cross-Domain Link
athlete,contract_administration,athlete_contract,corporate_entity_id,corporate_entity_id,Corporate Entity Id (Foreign Key),BIGINT,,legal.corporate_entity.corporate_entity_id,,,master_data,"Foreign key linking to legal.corporate_entity. Business justification: Athlete contracts are executed between the athlete and a specific corporate entity (franchise holding company, league subsidiary). The contract has franchise_id but the legal contracting party is the ",Internal - LLM Generated Cross-Domain Link
athlete,contract_administration,athlete_contract,cost_center_id,cost_center_id,Cost Center Id (Foreign Key),BIGINT,,finance.cost_center.cost_center_id,,,master_data,Foreign key linking to finance.cost_center. Business justification: Athlete contracts are assigned to cost centers for payroll cost allocation and budget-vs-actual reporting. Sports finance teams track player compensation by cost center (typically per franchise/team).,Internal - LLM Generated Cross-Domain Link
athlete,contract_administration,athlete_contract,franchise_id,franchise_id,Team ID,BIGINT,,league.franchise.franchise_id,,,master_data,Reference to the team or franchise that is the employing party on this contract.,League Operations — Roster Management
athlete,contract_administration,athlete_contract,insurance_policy_id,insurance_policy_id,Insurance Policy Id (Foreign Key),BIGINT,,legal.insurance_policy.insurance_policy_id,,,master_data,"Foreign key linking to legal.insurance_policy. Business justification: High-value athlete contracts are backed by contract-specific insurance policies (career-ending injury, disability, key-man coverage). Legal and risk teams must link contracts to their insurance polici",Internal - LLM Generated Cross-Domain Link
athlete,contract_administration,athlete_contract,kpi_definition_id,kpi_definition_id,Kpi Definition Id (Foreign Key),BIGINT,,analytics.kpi_definition.kpi_definition_id,,,master_data,Foreign key linking to analytics.kpi_definition. Business justification: Contract performance bonus governance: performance_bonus_eligible contracts reference specific KPI definitions that trigger bonus payments. Linking contract to kpi_definition enables automated bonus c,Internal - LLM Generated Cross-Domain Link
athlete,contract_administration,athlete_contract,league_id,league_id,League ID,BIGINT,,league.league.league_id,,,master_data,"Reference to the league governing this contract, determining which Collective Bargaining Agreement (CBA) rules apply.",NFL/NBA/MLB/NHL/MLS League Office — CBA Governance
athlete,contract_administration,athlete_contract,matter_id,matter_id,Legal Matter Id (Foreign Key),BIGINT,,legal.matter.matter_id,,,master_data,"Foreign key linking to legal.legal_matter. Business justification: Athlete contract disputes (breach claims, restructuring disagreements, option exercise conflicts) generate legal matters. Linking contract to legal_matter enables legal spend tracking, counsel assignm",Internal - LLM Generated Cross-Domain Link
athlete,contract_administration,athlete_contract,policy_id,policy_id,Policy Id (Foreign Key),BIGINT,,compliance.policy.policy_id,,,master_data,"Foreign key linking to compliance.policy. Business justification: Athlete contracts reference CBA version and compliance requirements. Linking to compliance.policy enables contract compliance audits, CBA version tracking, and regulatory obligation mapping — a named ",Internal - LLM Generated Cross-Domain Link
athlete,contract_administration,athlete_contract,profit_center_id,profit_center_id,Profit Center Id (Foreign Key),BIGINT,,finance.profit_center.profit_center_id,,,master_data,Foreign key linking to finance.profit_center. Business justification: Athlete contracts are assigned to profit centers for team-level P&L reporting. Each franchise's player costs must roll up to a profit center for EBITDA reporting and revenue-sharing calculations. Stan,Internal - LLM Generated Cross-Domain Link
athlete,contract_administration,athlete_contract,successfactors_position_id,successfactors_position_id,SAP SuccessFactors Position ID,BIGINT,,workforce.position.position_id,,,master_data,"The position identifier in SAP SuccessFactors HCM corresponding to the roster slot filled by this contract. Links payroll processing, benefits administration, and talent management workflows.",SAP SuccessFactors HCM — Position Management
