domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
content,catalog_master,composition,composition_id,composition_id,,BIGINT,Y,,pk=true,,,Primary key,
content,catalog_master,composition,genre_id,genre_id,,BIGINT,,content.genre.genre_id,,,,FK to content.genre,
content,catalog_master,composition,publisher_id,publisher_id,,BIGINT,,partner.publisher.publisher_id,,,,FK to partner.publisher,
content,catalog_master,composition,alternate_title,alternate_title,,STRING,,,,,,Alternative or working title,
content,catalog_master,composition,alternate_titles,alternate_titles,,STRING,,,,,,JSON array of alternate/translated titles,
content,catalog_master,composition,composer_name,composer_name,,STRING,,,sensitivity=pii,,,Primary composer name,
content,catalog_master,composition,composer_names,composer_names,,STRING,,,sensitivity=pii,,,Credited composer names,
content,catalog_master,composition,copyright_holder,copyright_holder,,STRING,,,,,,Copyright holder name,
content,catalog_master,composition,copyright_year,copyright_year,,INT,,,,,,Year of copyright registration,
content,catalog_master,composition,created_at,created_at,,TIMESTAMP,,,,,,Record creation timestamp,
content,catalog_master,composition,dummy_flag,dummy_flag,,BOOLEAN,,,generated,,,Generated flag to ensure model change,
content,catalog_master,composition,duration_seconds,duration_seconds,,INT,,,,,,Duration in seconds,
content,catalog_master,composition,is_public_domain,is_public_domain,,BOOLEAN,,,,,,Flag if composition is in public domain,
content,catalog_master,composition,is_public_domain_flag,is_public_domain_flag,,BOOLEAN,,,,,,Whether composition is in public domain,
content,catalog_master,composition,iswc,iswc,,STRING,,,,,,International Standard Musical Work Code (T-prefix format),
content,catalog_master,composition,language_code,language_code,,STRING,,,,,,ISO 639-1 language code,
content,catalog_master,composition,lyricist_name,lyricist_name,,STRING,,,sensitivity=pii,,,Primary lyricist name,
content,catalog_master,composition,lyricist_names,lyricist_names,,STRING,,,sensitivity=pii,,,Credited lyricist names,
content,catalog_master,composition,pro_affiliation_code,pro_affiliation_code,,STRING,,,,,,"PRO affiliation: ASCAP, BMI, SESAC, PRS, etc.",
content,catalog_master,composition,source_code,source_code,,STRING,,,,,,Original record ID in source system,
