industry,status,duration_hrs,ecm_cost_usd,mvm_cost_usd,llm_cost_usd,compute_cost_usd,grand_total_usd,tokens_millions,cost_per_1m_tok,ecm_input_tok,ecm_output_tok,mvm_input_tok,mvm_output_tok,grand_total_tok,version,ecm_domains,ecm_subdomains,ecm_products,ecm_attributes,ecm_tags_distinct,ecm_relationships,ecm_metric_views,mvm_domains,mvm_subdomains,mvm_products,mvm_attributes,mvm_tags_distinct,mvm_relationships,mvm_metric_views,agent_version
advertising,Completed,14,175.84,58.95,234.79,49,283.79,15.73,14.93,10064159,2558891,2409278,695780,15728108,v1,13,40,262,9284,18,1544,145,10,20,95,3760,14,815,77,0.7.1
agriculture,Completed,9.96,402.21,141.16,543.37,34.86,578.23,40.31,13.48,27278005,6231789,5142358,1654071,40306223,v1,18,59,408,15996,21,3226,97,14,34,177,7683,17,1995,134,0.7.1
airlines,Completed,14.01,228.26,86,314.27,49.03,363.3,24.11,13.03,15230998,3693956,4039925,1149984,24114863,v1,19,65,424,14742,18,2101,231,15,44,205,7613,17,1380,140,0.7.1
apparel_fashion,Completed,6.77,260.76,89.43,350.19,23.7,373.89,23.99,14.6,15371886,3883687,3690474,1039951,23985998,v1,19,62,400,15406,17,2494,190,12,32,163,6900,14,1374,108,0.7.1
automotive,Completed,5.3,284.15,121.92,406.06,18.55,424.61,29.97,13.55,19833342,3566685,5329863,1245016,29974906,v2,20,73,590,17648,49,2471,284,11,31,114,3945,22,707,90,4.5.5
banking,Completed,14,373.01,270.48,643.49,49,692.49,45.83,14.04,21447038,5406718,16041986,2932527,45828269,v1,19,68,501,19792,20,3301,90,17,46,227,9883,19,2478,80,0.7.1
chemical_mfg,Completed,5.02,240.53,119.58,360.11,17.57,377.68,24.78,14.53,15416593,2968190,4955376,1438782,24778941,v1,19,63,405,14005,19,1858,87,14,41,202,8135,14,1867,135,0.7.1
clinical_trials,Completed,10.85,476.31,208.61,684.92,37.98,722.9,45.73,14.98,29185731,6048447,8666909,1828907,45729994,v1,19,67,379,15530,25,3128,169,13,36,193,8719,15,1991,126,0.7.1
construction,Completed,5.73,236.27,279.1,515.37,20.05,535.42,32.16,16.03,14545969,2921094,12583265,2107642,32157970,v2,18,67,365,13164,38,1865,248,13,37,143,5687,28,1075,98,4.3.2
consumer_goods,Completed,5.31,232.14,102.32,334.46,18.58,353.04,23.88,14.01,15090393,3075848,4457123,1253217,23876581,v2,18,69,405,14906,19,1870,214,10,28,116,4688,15,756,79,4.3.2
ecommerce,Completed,4.08,206.77,64.33,271.11,14.28,285.38,19.91,13.62,13628081,2486435,2855041,936954,19906511,v1,18,55,369,11678,18,1428,89,14,35,148,5435,15,1050,112,0.7.1
education,Completed,14,255.91,154.67,410.57,49,459.57,28.67,14.32,16347745,4025202,6840316,1452160,28665423,v1,17,56,446,17010,19,2337,237,14,38,203,8251,17,1507,143,0.7.2
energy_utilities,Completed,9.6,363.38,219.97,583.35,33.6,616.95,40.11,14.55,19222286,4819481,13860486,2203046,40105299,v1,18,56,451,17774,18,2767,99,15,42,236,10384,15,2107,84,0.7.2
food_beverage,Completed,4.71,211.61,83.49,295.1,16.48,311.58,21.29,13.86,13895535,2708977,3580474,1108627,21293613,v1,19,68,376,13110,17,1748,92,14,40,157,6331,13,1287,123,0.7.1
gaming,Completed,14,383.09,352.06,735.15,49,784.15,43.05,17.08,20802213,4463231,15348645,2432159,43046248,v1,17,58,396,15481,20,2716,218,14,41,176,7543,15,1824,120,0.7.1
genomics_biotech,Completed,8.05,338.5,142.33,480.83,28.18,509.01,30.81,15.61,19226267,4265426,5727377,1586043,30805113,v1,19,61,403,15490,16,2714,114,15,40,182,7884,15,1906,124,0.7.1
grocery,Completed,5.1,202.21,71.75,273.95,17.85,291.8,20.52,13.35,13563195,2701708,3219769,1031685,20516357,v1,19,61,374,12754,18,1611,101,14,38,175,6708,16,1288,121,0.7.1
health_insurance,Completed,8.65,261.43,103.04,364.47,30.28,394.75,23.5,15.51,14953663,3143610,4049650,1356578,23503501,v2,19,80,411,13069,48,1534,287,14,35,130,4532,18,691,112,4.3.3
healthcare,Completed,11.96,566.08,195.88,761.97,41.86,803.83,45.57,16.72,28684499,6988706,7928232,1972292,45573729,v2,22,80,542,22180,39,4002,285,12,29,121,5176,20,1056,94,4.3.2
legal,Completed,6.68,206.13,183.39,389.53,23.38,412.91,24.06,16.19,11758721,3175867,7528778,1599532,24062898,v1,15,45,314,12216,18,2214,162,12,31,153,6405,15,1377,122,0.7.2
life_insurance,Completed,9.71,368.46,207.17,575.62,33.98,609.6,35.92,16.03,20251522,5326439,8242625,2098040,35918626,v1,19,59,468,18387,17,2825,181,15,43,217,9579,16,1926,158,0.7.1
manufacturing,Completed,5.28,287.47,76.89,364.36,18.48,382.84,25.03,14.56,17391013,3464767,3198165,971590,25025535,v2,20,78,414,15577,22,2293,241,13,32,114,4766,15,860,95,4.3.2
media_broadcasting,Completed,5.64,233.2,155.64,388.84,19.74,408.58,27.05,14.37,15259072,3582763,6665089,1545323,27052247,v2,17,75,425,14912,25,2440,225,12,33,132,5084,23,968,107,4.3.3
mining,Completed,8.51,255.83,276.79,532.62,29.79,562.41,34.09,15.62,15822343,3928966,12126518,2211438,34089265,v1,18,61,416,15002,15,2458,179,15,45,219,8813,12,2083,141,0.7.2
ngo,Completed,6.07,219.78,104.8,324.58,21.25,345.83,20.98,15.47,12308238,3205062,4294223,1171290,20978813,v2,15,62,304,11646,45,1859,197,9,23,87,3675,27,706,75,4.3.2
oil_gas,Completed,11.5,434.22,379.12,813.33,40.25,853.58,69.44,11.71,31827803,5999223,28263423,3349431,69439880,v1,19,66,568,22088,19,3533,107,17,43,246,11143,12,2664,93,0.7.2
payments_fintech,Completed,8.43,282.24,139.16,421.4,29.5,450.9,33.53,12.57,19233817,3434364,8863688,1998805,33530674,v1,18,61,546,16916,23,2188,95,15,39,223,7890,17,1624,71,0.7.1
pharmaceuticals,Completed,14,436.51,249.14,685.65,49,734.65,42.08,16.3,24105974,5274806,10426578,2269068,42076426,v1,19,72,441,16563,26,2987,190,15,46,213,8874,14,2423,147,0.7.1
real_estate,Completed,14,443.6,282.19,725.79,49,774.79,40.39,17.97,21548123,5581435,10792066,2464047,40385671,v1,16,48,344,14564,15,2970,143,14,41,177,8681,13,2410,129,0.7.1
restaurants,Completed,3.94,168.44,65.32,233.76,13.79,247.55,17.55,13.32,11524415,2283974,2821979,922138,17552506,v2,14,54,293,9112,37,1247,185,9,22,87,3022,26,506,70,4.3.2
retail,Completed,7.04,294.93,107.93,402.86,24.64,427.5,26.68,15.1,16780244,4171100,4414869,1315420,26681633,v2,20,74,405,14733,11,2432,272,13,34,125,4993,11,1079,104,4.4.7
semiconductors,Completed,5.41,239.65,198.99,438.64,18.94,457.58,27.84,15.76,14555865,2956728,8649852,1677925,27840370,v2,19,68,386,13683,25,2020,257,12,31,113,4593,14,987,97,4.3.2
shipping_ports,Completed,8.33,280.39,234.23,514.62,29.16,543.78,32.41,15.88,16376075,4282381,9695400,2059812,32413668,v2,20,77,420,16267,20,2676,288,12,29,117,5216,16,1105,91,4.5.3
sports_entertainment,Completed,8.24,583.2,180.56,763.76,28.84,792.6,46.51,16.42,30152293,6998759,7603767,1754066,46508885,v1,19,70,473,21075,36,4474,180,14,41,200,9102,26,2034,130,0.7.1
staffing_hr,Completed,8,216.95,104.69,321.64,28,349.64,19.91,16.16,11494023,3386770,3751466,1277212,19909471,v1,16,47,302,11925,18,2097,138,12,30,153,6932,15,1568,116,0.7.1
telecommunication,Completed,14,384.45,212.36,596.81,49,645.81,40.75,14.65,22151743,4702820,11498983,2391606,40745152,v1,20,68,451,17655,22,2935,104,15,40,167,7601,18,1806,132,0.7.2
transport_shipping,Completed,10.15,427.77,132.09,559.86,35.52,595.38,35.75,15.66,23618560,5168989,5526783,1431078,35745410,v1,19,79,514,20747,21,3292,195,14,44,210,9524,16,1918,122,0.7.1
travel_hospitality,Completed,6.15,203.98,103.54,307.52,21.53,329.05,21.75,14.14,12771717,3270129,4470424,1242690,21754960,v2,17,68,353,13175,34,2105,285,9,20,87,3419,18,527,66,4.3.2
waste_management,Completed,8.2,280.83,109.08,389.91,28.7,418.61,27.8,14.03,17873995,4329280,4313993,1282540,27799808,v1,17,52,471,17718,17,2772,187,12,35,194,7918,13,1606,114,0.7.2
water_utilities,Completed,7.61,251.26,122.4,373.66,26.64,400.3,26.28,14.22,15916396,3948895,5083564,1327214,26276069,v2,15,62,377,12784,40,2177,219,10,25,103,3591,23,601,74,4.3.2
TOTAL (40 completed),,347.99,12197.75,6490.55,18688.29,1217.98,19906.26,1255.72,14.88,726509550,164431598,298958780,65785686,1255685614,,722,2554,16592,615764,963,98709,7307,524,1414,6500,270078,679,57932,4354,
AVERAGE / industry,,8.7,304.9,162.3,467.2,30.4,497.7,31.4,14.85,18162738.8,4110790,7473969.5,1644642.1,31392140.4,,18.1,63.9,414.8,15394.1,24.1,2467.7,182.7,13.1,35.4,162.5,6751.9,17.0,1448.3,108.8,
