domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
development,contract_administration,change_order,change_order_id,change_order_id,Change Order ID,BIGINT,Y,,,,transactional_data,Unique system-generated identifier for the change order record. Primary key for the development.change_order data product.,Procore Construction and Development Project Management
development,contract_administration,change_order,ap_invoice_id,ap_invoice_id,Ap Invoice Id (Foreign Key),BIGINT,,finance.ap_invoice.ap_invoice_id,,,transactional_data,"Foreign key linking to finance.ap_invoice. Business justification: Approved change orders generate AP invoices for contractor payment. Finance teams link change orders to resulting AP invoices for payment tracking, lien waiver management, and construction audit — a s",Internal - LLM Generated Cross-Domain Link
development,contract_administration,change_order,budget_line_id,budget_line_id,Budget Line ID,BIGINT,,finance.budget_line.budget_line_id,,,transactional_data,Reference to the CAPEX budget line item in the project budget against which this change order cost impact is recorded. Supports budget variance analysis and CAPEX draw schedule management.,Procore Construction and Development Project Management; SAP S/4HANA Project Systems; Yardi Voyager Budgeting and Forecasting
development,contract_administration,change_order,construction_contract_id,construction_contract_id,Contract ID,BIGINT,,development.construction_contract.construction_contract_id,,,transactional_data,Reference to the originating construction contract against which this change order is issued. Links the change order to its parent contract for cumulative value tracking.,Procore Construction and Development Project Management; DocuSign CLM Contract Lifecycle Management
development,contract_administration,change_order,contractor_id,contractor_id,Contractor ID,BIGINT,,development.contractor.contractor_id,,,transactional_data,Reference to the contractor or subcontractor entity that is the counterparty to the change order. Used for contractor performance and dispute tracking.,Procore Construction and Development Project Management
development,contract_administration,change_order,cost_center_id,cost_center_id,Cost Center Id (Foreign Key),BIGINT,,finance.cost_center.cost_center_id,,,transactional_data,Foreign key linking to finance.cost_center. Business justification: Change orders affect specific cost centers in the GL. Finance teams post change order cost impacts to cost centers for budget variance reporting and CAPEX tracking — standard in real estate developmen,Internal - LLM Generated Cross-Domain Link
development,contract_administration,change_order,currency_code_id,currency_code_id,Currency Code Id (Foreign Key),BIGINT,,reference.currency_code.currency_code_id,,,transactional_data,Foreign key linking to reference.currency_code. Business justification: Change orders are denominated in a specific currency for cost impact tracking. Multi-currency project reporting and lender draw package preparation require a normalized currency reference. currency_co,Internal - LLM Generated Cross-Domain Link
development,contract_administration,change_order,design_document_id,design_document_id,Design Document Id (Foreign Key),BIGINT,,development.design_document.design_document_id,,,transactional_data,Foreign key linking to development.design_document. Business justification: change_order currently stores bim_model_reference as a STRING. Change orders often reference specific BIM model elements or design documents that triggered the change. Replacing the string reference w,Internal - LLM Generated Cross-Domain Link
development,contract_administration,change_order,dev_project_id,dev_project_id,Development Project ID,BIGINT,,development.dev_project.dev_project_id,,,transactional_data,Reference to the real estate development or capital improvement project under which this change order is raised. Enables project-level budget variance and CAPEX draw analysis.,Procore Construction and Development Project Management; SAP S/4HANA Project Systems
development,contract_administration,change_order,employee_id,employee_id,Approver ID,BIGINT,,workforce.employee.employee_id,"confidential,pii",,transactional_data,Reference to the workforce or user record of the individual who approved the change order. Supports delegation-of-authority validation and SOX audit trail requirements.,Procore Construction and Development Project Management; SOX Financial Controls; ADP Workforce Now
development,contract_administration,change_order,potential_change_order_id,potential_change_order_id,Potential Change Order (PCO) ID,BIGINT,,development.change_order.change_order_id,,,transactional_data,Reference to the Potential Change Order (PCO) or Owner Change Order Request (OCOR) in Procore from which this formal change order was generated. Maintains the full change management audit trail from identification through execution.,Procore Construction and Development Project Management
development,contract_administration,change_order,regulatory_obligation_id,regulatory_obligation_id,Regulatory Obligation Id (Foreign Key),BIGINT,,compliance.regulatory_obligation.regulatory_obligation_id,,,transactional_data,"Foreign key linking to compliance.regulatory_obligation. Business justification: Change orders triggered by regulatory requirements (code changes, ADA compliance, environmental findings) must reference the governing regulatory obligation. This supports audit trails for regulatory-",Internal - LLM Generated Cross-Domain Link
