domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
equipment,compliance_assurance,asset_contract_coverage,asset_contract_coverage_id,asset_contract_coverage_id,Asset Contract Coverage - Asset Contract Coverage Id,BIGINT,Y,,,,association_data,Primary key for the asset_contract_coverage association,Internal - M:N Association PK
equipment,compliance_assurance,asset_contract_coverage,asset_id,asset_id,Asset Contract Coverage - Asset Id,BIGINT,,equipment.asset.asset_id,,,association_data,Foreign key linking to the mining equipment asset covered under this contract,Internal - M:N Association FK
equipment,compliance_assurance,asset_contract_coverage,procurement_contract_id,procurement_contract_id,Asset Contract Coverage - Procurement Contract Id,BIGINT,,procurement.procurement_contract.procurement_contract_id,,,association_data,Foreign key linking to the procurement contract providing coverage for this asset,Internal - M:N Association FK
equipment,compliance_assurance,asset_contract_coverage,added_to_contract_date,added_to_contract_date,Date Added to Contract,DATE,,,,,association_data,Date when this asset was formally added to the contract coverage. Used for audit trail and amendment tracking.,
equipment,compliance_assurance,asset_contract_coverage,annual_coverage_value,annual_coverage_value,Annual Coverage Value,"DECIMAL(18,2)",,,,,association_data,"Annualized monetary value of coverage for this specific asset under this contract. Used for cost allocation, budget tracking, and contract value analysis.",
equipment,compliance_assurance,asset_contract_coverage,coverage_end_date,coverage_end_date,Coverage End Date,DATE,,,,,association_data,Date when contract coverage expires for this specific asset. Used to trigger renewal processes and prevent coverage gaps.,
equipment,compliance_assurance,asset_contract_coverage,coverage_notes,coverage_notes,Coverage Notes,STRING,,,,,association_data,"Free-text notes capturing special conditions, exclusions, or requirements specific to this asset-contract coverage (e.g., 'Excludes tire replacement', 'Requires monthly inspection report').",
equipment,compliance_assurance,asset_contract_coverage,coverage_start_date,coverage_start_date,Coverage Start Date,DATE,,,,,association_data,Date when contract coverage becomes effective for this specific asset. May differ from the master contract start date if assets are added mid-term.,
equipment,compliance_assurance,asset_contract_coverage,coverage_status,coverage_status,Coverage Status,STRING,,,,,association_data,"Current status of the coverage relationship: active (in force), suspended (temporarily paused), expired (coverage period ended), pending activation (scheduled future start), or cancelled (terminated early).",
equipment,compliance_assurance,asset_contract_coverage,coverage_type,coverage_type,Coverage Type,STRING,,,,,association_data,"Type of service coverage provided under this contract for this asset: full maintenance (parts and labor), parts supply only, labor only, preventive maintenance only, breakdown support only, telematics monitoring, or warranty extension.",
