domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
clinical,care_coordination,advance_directive,advance_directive_id,advance_directive_id,Advance Directive ID,BIGINT,Y,,,,master_data,Unique surrogate identifier for the advance directive record in the lakehouse silver layer. Primary key for this entity.,Patient Self-Determination Act (PSDA); Epic Advance Care Planning Module
clinical,care_coordination,advance_directive,accreditation_survey_id,accreditation_survey_id,Accreditation Survey Id (Foreign Key),BIGINT,,quality.accreditation_survey.accreditation_survey_id,,,master_data,"Foreign key linking to quality.accreditation_survey. Business justification: Advance directive documentation is reviewed during accreditation surveys (TJC, CMS). Surveyors assess compliance with patient rights standards. Essential for accreditation survey preparation and respo",Internal - LLM Generated Cross-Domain Link
clinical,care_coordination,advance_directive,attachment_id,attachment_id,Claim Attachment Id (Foreign Key),BIGINT,,claim.claim_attachment.claim_attachment_id,,,master_data,Foreign key linking to claim.claim_attachment. Business justification: Advance directives are required documentation for hospice and palliative care claims. Compliance teams must link directive to claim attachment for Medicare hospice election validation and end-of-life ,Internal - LLM Generated Cross-Domain Link
clinical,care_coordination,advance_directive,care_site_id,care_site_id,Facility ID,BIGINT,,facility.care_site.care_site_id,,,master_data,"Reference to the healthcare facility (hospital, clinic, or outpatient center) where the advance directive was documented or verified. Supports multi-facility enterprise reporting and care transition workflows.",CMS Conditions of Participation; The Joint Commission (TJC) LD.04.01.01; Epic Advance Care Planning Module
clinical,care_coordination,advance_directive,clinician_id,clinician_id,Documenting Provider ID,BIGINT,,provider.clinician.clinician_id,,,master_data,Reference to the clinician or provider who documented or verified the advance directive in the Electronic Health Record (EHR). Supports audit and accountability requirements.,Patient Self-Determination Act (PSDA); The Joint Commission (TJC) RC.02.01.01; Epic ClinDoc
clinical,care_coordination,advance_directive,compliance_policy_id,compliance_policy_id,Policy Id (Foreign Key),BIGINT,,compliance.compliance_policy.compliance_policy_id,,,master_data,Foreign key linking to compliance.policy. Business justification: Advance directive management is governed by organizational policies implementing state/federal regulations (Patient Self-Determination Act). Healthcare organizations must link advance directive record,Internal - LLM Generated Cross-Domain Link
clinical,care_coordination,advance_directive,demographics_id,demographics_id,Patient ID,BIGINT,,patient.demographics.demographics_id,"restricted,pii_identifier",,master_data,Reference to the patient for whom this advance directive was documented. Links to the patient master record.,HIPAA 45 CFR §164; Patient Self-Determination Act (PSDA); Epic ClinDoc
clinical,care_coordination,advance_directive,record_id,record_id,Consent Record Id (Foreign Key),BIGINT,,consent.consent_record.consent_record_id,,,master_data,"Foreign key linking to consent.consent_record. Business justification: Advance directives are a specialized form of consent for end-of-life care decisions. Linking to the general consent framework ensures comprehensive consent tracking, supports POLST/MOLST workflows, an",Internal - LLM Generated Cross-Domain Link
clinical,care_coordination,advance_directive,superseded_by_directive_advance_directive_id,superseded_by_directive_advance_directive_id,Superseded By Directive ID,BIGINT,,clinical.advance_directive.advance_directive_id,,,master_data,Reference to the newer advance directive record that supersedes this one. Null if this directive has not been superseded. Enables directive version chain tracking and ensures the most current directive is applied in care decisions.,Patient Self-Determination Act (PSDA); HL7 FHIR R4 Consent.status; Epic Advance Care Planning Module
clinical,care_coordination,advance_directive,visit_id,visit_id,Encounter ID,BIGINT,,encounter.visit.visit_id,,,master_data,Reference to the clinical encounter during which the advance directive was documented or verified. May be null if documented outside an encounter context.,Epic ClinDoc; HL7 FHIR R4 Consent Resource
clinical,care_coordination,advance_directive,artificially_administered_nutrition,artificially_administered_nutrition,Artificially Administered Nutrition Preference,STRING,,,,Accept|Decline|Trial Period|No Preference Stated,master_data,"Patient's documented preference regarding artificially administered nutrition and hydration (e.g., feeding tubes, IV fluids) as specified in the advance directive or POLST/MOLST. Critical for end-of-life care planning.",POLST National Paradigm; Patient Self-Determination Act (PSDA); CMS Conditions of Participation §482.13
