domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
assurance,change_management,change_record,change_record_id,change_record_id,Change Record Identifier (ID),BIGINT,Y,,,,transactional_data,Unique identifier for the change record in ServiceNow ITSM Change Management. Primary key for this entity.,ServiceNow ITSM Change Management Data Model
assurance,change_management,change_record,affected_network_equipment_id,affected_network_equipment_id,Affected Network Equipment Id (Foreign Key),BIGINT,,inventory.network_equipment.network_equipment_id,,,transactional_data,"Foreign key linking to inventory.network_equipment. Business justification: Documents which specific equipment underwent maintenance change (firmware upgrade, configuration change, card replacement) for configuration management database, rollback procedures, and change succes",Internal - LLM Generated Cross-Domain Link
assurance,change_management,change_record,capital_project_id,capital_project_id,Capex Project Id (Foreign Key),BIGINT,,finance.capital_project.capital_project_id,,,transactional_data,"Foreign key linking to finance.capital_project. Business justification: Network changes often implement capital projects (new cell sites, fiber deployment, core network upgrades). Required for capex project tracking, asset capitalization timing, and project completion ver",Internal - LLM Generated Cross-Domain Link
assurance,change_management,change_record,cost_center_id,cost_center_id,Cost Center Id (Foreign Key),BIGINT,,finance.cost_center.cost_center_id,,,transactional_data,"Foreign key linking to finance.cost_center. Business justification: Planned network changes incur implementation costs (labor, testing, rollback resources) allocated to change management or network operations cost centers. Standard practice for change management cost ",Internal - LLM Generated Cross-Domain Link
assurance,change_management,change_record,noc_incident_id,noc_incident_id,Noc Incident Id (Foreign Key),BIGINT,,assurance.noc_incident.noc_incident_id,,,transactional_data,Foreign key linking to assurance.noc_incident. Business justification: Change records can be linked to NOC incidents when a planned change triggers or is related to an operational incident. This is N:1 (many changes can relate to one NOC incident). The FK column does not,Internal - LLM Generated Cross-Domain Link
assurance,change_management,change_record,regulatory_change_id,regulatory_change_id,Regulatory Change Id (Foreign Key),BIGINT,,compliance.regulatory_change.regulatory_change_id,,,transactional_data,"Foreign key linking to compliance.regulatory_change. Business justification: Network changes implemented to comply with new regulations: spectrum rule changes, security mandates (STIR/SHAKEN), privacy requirements (CPNI protection). Links change record to regulatory change for",Internal - LLM Generated Cross-Domain Link
assurance,change_management,change_record,related_problem_problem_record_id,related_problem_problem_record_id,Related Problem Identifier (ID),BIGINT,,assurance.problem_record.problem_record_id,,,transactional_data,Problem record ID in ServiceNow ITSM that this change addresses. Links corrective changes to root cause analysis and problem management process.,ServiceNow ITSM Problem Management; ITIL Problem Management Framework
assurance,change_management,change_record,actual_downtime_minutes,actual_downtime_minutes,Actual Downtime Minutes,INT,,,,,transactional_data,"Actual duration of service downtime or degradation in minutes during change implementation. Used for variance analysis, SLA breach calculation, and change success metrics.",TM Forum SID Service Management Domain
assurance,change_management,change_record,actual_end_timestamp,actual_end_timestamp,Actual End Timestamp,TIMESTAMP,,,,,transactional_data,Actual date and time when the change implementation completed. Used for maintenance window compliance tracking and post-implementation review.,ServiceNow ITSM Change Management Data Model; ISO 8601 Timestamp Format
assurance,change_management,change_record,actual_start_timestamp,actual_start_timestamp,Actual Start Timestamp,TIMESTAMP,,,,,transactional_data,Actual date and time when the change implementation began. Used for variance analysis against planned schedule and accurate SLA exclusion tracking.,ServiceNow ITSM Change Management Data Model; ISO 8601 Timestamp Format
assurance,change_management,change_record,affected_geography,affected_geography,Affected Geography,STRING,,,,,transactional_data,"Geographic region, market, or site affected by this change (e.g., 'Northeast Region', 'Site-NYC-001', 'National'). Used for customer notification targeting and regional SLA tracking.",TM Forum SID Location Domain
assurance,change_management,change_record,affected_network_element,affected_network_element,Affected Network Element,STRING,,,,,transactional_data,"Specific network element, node, or equipment identifier impacted by this change (e.g., eNodeB ID, BNG hostname, OLT serial number). May reference multiple elements separated by delimiters.",TM Forum SID Resource Domain; 3GPP Network Element Naming
assurance,change_management,change_record,affected_service,affected_service,Affected Service,STRING,,,,,transactional_data,"Service or service group impacted by this change (e.g., 'Mobile Data', 'VoLTE', 'IPTV', 'Enterprise MPLS'). Used to identify customer-facing impact and SLA applicability.",TM Forum SID Service Domain
assurance,change_management,change_record,approval_timestamp,approval_timestamp,Approval Timestamp,TIMESTAMP,,,,,transactional_data,Date and time when the change was formally approved for implementation. Used for audit trail and compliance reporting.,ServiceNow ITSM Change Management Data Model; ISO 8601 Timestamp Format
assurance,change_management,change_record,approver_name,approver_name,Approver Name,STRING,,,,,transactional_data,"Name of the individual or CAB (Change Advisory Board) member who approved this change. For emergency changes, may be the on-call manager or executive authority.",ITIL Change Management Framework
assurance,change_management,change_record,approver_role,approver_role,Approver Role,STRING,,,,,transactional_data,"Organizational role or title of the approver (e.g., 'CAB Chair', 'Network Operations Manager', 'CTO', 'Emergency Change Authority').",ITIL Change Management Framework
assurance,change_management,change_record,business_justification,business_justification,Business Justification,STRING,,,,,transactional_data,"Business rationale for the change including expected benefits, regulatory requirements, customer commitments, or strategic initiatives. Used for CAB approval and investment prioritization.",ITIL Change Management Framework
assurance,change_management,change_record,change_category,change_category,Change Category,STRING,,,,,transactional_data,"Network domain or system category affected by this change. RAN (Radio Access Network), transport (MPLS/SD-WAN), core (IMS/EPC/5GC), BSS (Business Support Systems), OSS (Operations Support Systems), CPE (Customer Premises Equipment), fiber (FTTH/GPON), backhaul (microwave/fiber transport). [ENUM-REF-CANDIDATE: RAN|transport|core|BSS|OSS|CPE|fiber|backhaul — 8 candidates stripped; promote to reference product]",TM Forum eTOM Framework; 3GPP Network Architecture Standards
assurance,change_management,change_record,change_description,change_description,Change Description,STRING,,,,,transactional_data,"Detailed description of the change including technical scope, implementation steps, and business justification. Captures what will be changed, why, and how.",ITIL Change Management Framework
