domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
fnb,banquet_catering,banquet_event_order,banquet_event_order_id,banquet_event_order_id,Banquet Event Order (BEO) ID,BIGINT,Y,,,,transactional_data,Unique identifier for the banquet event order. Primary key for the BEO master record.,
fnb,banquet_catering,banquet_event_order,banquet_menu_package_id,banquet_menu_package_id,Menu Package ID,BIGINT,,fnb.banquet_menu_package.banquet_menu_package_id,,,transactional_data,Reference to the catering menu package selected for this event. Links to the catering menu catalog.,
fnb,banquet_catering,banquet_event_order,campaign_id,campaign_id,Campaign Id (Foreign Key),BIGINT,,marketing.campaign.campaign_id,,,transactional_data,"Foreign key linking to marketing.campaign. Business justification: Banquet events are frequently driven by marketing campaigns (wedding season promotions, holiday party packages, corporate event campaigns). Sales teams track campaign attribution for ROI analysis and ",
fnb,banquet_catering,banquet_event_order,campaign_offer_id,campaign_offer_id,Campaign Offer Id (Foreign Key),BIGINT,,marketing.campaign_offer.campaign_offer_id,,,transactional_data,"Foreign key linking to marketing.campaign_offer. Business justification: Banquet bookings frequently use promotional offers (""Book by March 31, save 15%"", ""Complimentary champagne toast""). Event coordinators track offer codes for pricing validation, contract terms enforcem",
fnb,banquet_catering,banquet_event_order,corporate_account_id,corporate_account_id,Corporate Account Id (Foreign Key),BIGINT,,guest.corporate_account.corporate_account_id,,,transactional_data,"Foreign key linking to guest.corporate_account. Business justification: Corporate accounts book banquet events for meetings and conferences. Required for direct billing setup, contract rate application, credit limit monitoring, and AR invoice generation against corporate ",
fnb,banquet_catering,banquet_event_order,event_booking_id,event_booking_id,Event Booking ID,BIGINT,,event.event_booking.event_booking_id,,,transactional_data,Reference to the parent event booking that originated this BEO. Links to the event domain booking record.,
fnb,banquet_catering,banquet_event_order,function_space_id,function_space_id,Function Space ID,BIGINT,,event.function_space.function_space_id,,,transactional_data,Identifier of the function room or banquet space where the event will be held.,
fnb,banquet_catering,banquet_event_order,guest_group_block_id,guest_group_block_id,Group Block Id (Foreign Key),BIGINT,,guest.guest_group_block.guest_group_block_id,,,transactional_data,"Foreign key linking to guest.guest_group_block. Business justification: Banquet events are frequently tied to group blocks (weddings, conferences, conventions). Required for group F&B revenue tracking, contracted minimum guarantee tracking, attrition analysis, and master ",
fnb,banquet_catering,banquet_event_order,health_safety_incident_id,health_safety_incident_id,Health Safety Incident Id (Foreign Key),BIGINT,,compliance.health_safety_incident.health_safety_incident_id,"restricted,pii",,transactional_data,"Foreign key linking to compliance.health_safety_incident. Business justification: Banquet events with health/safety incidents (food poisoning, allergic reactions, slip-and-fall) must link to incident reports for liability tracking, insurance claims, and regulatory reporting. Natura",
fnb,banquet_catering,banquet_event_order,ledger_id,ledger_id,Ledger Id (Foreign Key),BIGINT,,finance.ledger.ledger_id,,,transactional_data,Foreign key linking to finance.ledger. Business justification: Banquet revenue posts to distinct GL accounts from restaurant operations for USALI reporting. BEO links to pos_check but needs direct ledger link for event-specific revenue classification (catering vs,
