domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
biostatistics,analysis_planning,analysis_population,analysis_population_id,analysis_population_id,Analysis Population ID,BIGINT,Y,,,,master_data,Unique surrogate identifier for the analysis population record within the biostatistics data product. Primary key for the analysis_population entity.,CDISC ADaM Implementation Guide
biostatistics,analysis_planning,analysis_population,consent_icf_version_id,consent_icf_version_id,Consent Icf Version Id (Foreign Key),BIGINT,,consent.consent_icf_version.consent_icf_version_id,,,master_data,"Foreign key linking to consent.consent_icf_version. Business justification: Analysis populations (ITT, PP, Safety) are scoped to subjects consented under specific ICF versions, particularly after protocol amendments altering eligibility. FDA/EMA submissions require explicit d",Internal - LLM Generated Cross-Domain Link
biostatistics,analysis_planning,analysis_population,randomization_treatment_arm_id,randomization_treatment_arm_id,Randomization Treatment Arm Id (Foreign Key),BIGINT,,randomization.treatment_arm.treatment_arm_id,"restricted,pii",,master_data,"Foreign key linking to randomization.treatment_arm. Business justification: Analysis populations (ITT, PP, Safety) are scoped to specific treatment arms. ADSL derivation requires the exact treatment arm definition to set population flags. The treatment_arm_scope text field is",Internal - LLM Generated Cross-Domain Link
biostatistics,analysis_planning,analysis_population,sap_id,sap_id,Statistical Analysis Plan (SAP) ID,BIGINT,,biostatistics.sap.sap_id,,,master_data,Reference to the Statistical Analysis Plan (SAP) document version that formally defines and governs this analysis population. Ensures traceability from population definition to the authoritative SAP.,ICH E9; ICH E9(R1); CDISC ADaM
biostatistics,analysis_planning,analysis_population,study_id,study_id,Study ID,BIGINT,,study.study_study.study_id,,,master_data,Reference to the clinical study for which this analysis population is defined. Links the population definition to its parent study context.,CDISC SDTM/ADaM; ICH E9(R1)
biostatistics,analysis_planning,analysis_population,acronym,acronym,Analysis Population Acronym,STRING,,,,"^[A-Z]{2,10}$",master_data,"Standardized abbreviation for the analysis population (e.g., ITT, mITT, PP, SAF, PK, PD). Used in TLF titles, CSR statistical sections, and ADaM dataset variable labels.",CDISC ADaM; ICH E9(R1)
biostatistics,analysis_planning,analysis_population,adam_dataset_name,adam_dataset_name,Analysis Data Model (ADaM) Dataset Name,STRING,,,,"^[A-Z]{2,8}$",master_data,The CDISC ADaM dataset name where the ADSL flag variable for this population resides (typically ADSL). Used to locate the population flag in the ADaM submission package.,CDISC ADaM ADSL Implementation Guide v1.1; FDA Study Data Technical Conformance Guide
biostatistics,analysis_planning,analysis_population,adsl_flag_variable,adsl_flag_variable,Analysis Data Subject-Level (ADSL) Flag Variable Name,STRING,,,,"^[A-Z]{2,8}FL$",master_data,"The CDISC ADaM ADSL dataset flag variable name (e.g., ITTFL, SAFFL, PPROTFL, MITTFL, PKFL) that identifies subjects belonging to this population. Must conform to CDISC ADaM naming convention ending in 'FL'.",CDISC ADaM ADSL Implementation Guide v1.1; CDISC ADaM IG v1.3
biostatistics,analysis_planning,analysis_population,analysis_phase,analysis_phase,Analysis Phase,STRING,,,,interim|final|post_hoc|exploratory,master_data,"Designates the analysis phase in which this population definition is applied: interim analysis, final analysis, post-hoc analysis, or exploratory analysis. Governs which TLF shells and CSR sections reference this population.",ICH E9(R1); ICH E3; CDISC ADaM
biostatistics,analysis_planning,analysis_population,blinding_status,blinding_status,Blinding Status,STRING,,,,blinded|unblinded|open_label,master_data,"Indicates whether the analysis population is evaluated under blinded, unblinded, or open-label conditions at the time of analysis. Critical for DSMB/DMC interim reviews and final unblinding records.",ICH E9(R1) Section 5.5; ICH E6(R2) GCP; FDA Guidance on Blinding
biostatistics,analysis_planning,analysis_population,cdisc_standard_version,cdisc_standard_version,Clinical Data Interchange Standards Consortium (CDISC) Standard Version,STRING,,,,,master_data,"The version of the CDISC ADaM standard applied to the derivation of this analysis population (e.g., ADaM IG v1.3, ADSL v1.1). Required for FDA/EMA electronic submission conformance.",CDISC ADaM Implementation Guide; FDA Study Data Technical Conformance Guide; EMA Data Standards
biostatistics,analysis_planning,analysis_population,created_timestamp,created_timestamp,Record Created Timestamp,TIMESTAMP,,,,,master_data,"The timestamp when this analysis population record was first created in the system, in ISO 8601 format (yyyy-MM-ddTHH:mm:ss.SSSXXX). Supports audit trail requirements under 21 CFR Part 11 and ALCOA+ principles.",21 CFR Part 11; ICH E6(R2); ALCOA+; GDPR Article 5
biostatistics,analysis_planning,analysis_population,dbl_date,dbl_date,Database Lock (DBL) Date,DATE,,,,,master_data,The date on which the study database was locked (DBL) for the analysis associated with this population. Subject counts and population assignments are finalized as of this date.,ICH E6(R2) GCP; FDA Guidance on DBL; CDISC ADaM
