domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
candidate,engagement_tracking,assessment,assessment_id,assessment_id,Assessment ID,BIGINT,Y,,,,transactional_data,Unique system-generated identifier for each candidate assessment or screening evaluation record in the staffing and recruitment process.,ISO 30405:2016 Human Resource Management - Guidelines on Recruitment
candidate,engagement_tracking,assessment,order_header_id,order_header_id,Job Order ID,BIGINT,,joborder.order_header.order_header_id,,,transactional_data,"Reference to the requisition (Req) or job order for which this assessment was administered, if the assessment was req-specific. Null for general talent pool assessments.",ISO 30405:2016 Human Resource Management - Guidelines on Recruitment
candidate,engagement_tracking,assessment,profile_id,profile_id,Candidate ID,BIGINT,,candidate.profile.profile_id,,,transactional_data,Reference to the candidate who completed or was subject to this assessment. Links to the candidate master profile in the Bullhorn ATS.,ISO 30405:2016 Human Resource Management - Guidelines on Recruitment
candidate,engagement_tracking,assessment,staff_profile_id,staff_profile_id,Assessor ID,BIGINT,,employee.staff_profile.staff_profile_id,,,transactional_data,"Reference to the internal recruiter, hiring manager, or human evaluator who conducted or reviewed the assessment. Null for automated/system-administered assessments.",ISO 30405:2016 Human Resource Management - Guidelines on Recruitment
candidate,engagement_tracking,assessment,administered_date,administered_date,Assessment Administered Date,DATE,,,,,transactional_data,"The calendar date on which the assessment was administered or conducted. Used for validity tracking, expiration calculation, and Time to Fill (TTF) analytics.",ISO 30405:2016 Human Resource Management - Guidelines on Recruitment
candidate,engagement_tracking,assessment,administered_timestamp,administered_timestamp,Assessment Administered Timestamp,TIMESTAMP,,,,,transactional_data,Precise date and time when the assessment was started or administered. Supports duration calculation and audit trail requirements.,ISO 30405:2016 Human Resource Management - Guidelines on Recruitment; SOC 2 Type II
candidate,engagement_tracking,assessment,adverse_action_date,adverse_action_date,Adverse Action Date,DATE,,,,,transactional_data,Date on which the adverse action decision was communicated to the candidate. Required for FCRA compliance tracking and EEOC reporting.,Fair Credit Reporting Act (FCRA); EEOC; OFCCP
candidate,engagement_tracking,assessment,adverse_action_flag,adverse_action_flag,Adverse Action Flag,BOOLEAN,,,,,transactional_data,"Indicates whether an adverse action (e.g., disqualification from placement) was taken based on the result of this assessment. Triggers FCRA-mandated pre-adverse and adverse action notification workflows.",Fair Credit Reporting Act (FCRA); EEOC; OFCCP
candidate,engagement_tracking,assessment,allotted_duration_minutes,allotted_duration_minutes,Allotted Assessment Duration (Minutes),INT,,,,,transactional_data,The maximum time in minutes allotted for the candidate to complete the assessment as defined by the assessment instrument. Used to flag time overruns and ensure standardized administration.,ISO 30405:2016 Human Resource Management - Guidelines on Recruitment
candidate,engagement_tracking,assessment,assessment_number,assessment_number,Assessment Number,STRING,,,,,transactional_data,"Externally-known business identifier for this assessment record, used for cross-system reference and candidate communication (e.g., ASM-2024-00123). Sourced from Bullhorn ATS or the assessment provider platform.",ISO 30405:2016 Human Resource Management - Guidelines on Recruitment
candidate,engagement_tracking,assessment,assessment_status,assessment_status,Assessment Status,STRING,,,,scheduled|in_progress|completed|cancelled|expired|pending_review,transactional_data,Current lifecycle state of the assessment record. Drives workflow routing in the Applicant Tracking System (ATS) and candidate ranking processes.,ISO 30405:2016 Human Resource Management - Guidelines on Recruitment
candidate,engagement_tracking,assessment,assessment_type,assessment_type,Assessment Type,STRING,,,,,transactional_data,"Classification of the assessment administered to the candidate. Drives scoring logic, pass/fail thresholds, and Quality of Submission (QoS) workflows. [ENUM-REF-CANDIDATE: skills_test|behavioral|cognitive|technical_screen|video_interview|drug_screen|reference_check — promote to reference product]",ISO 30405:2016 Human Resource Management - Guidelines on Recruitment; American Staffing Association (ASA) Best Practices
candidate,engagement_tracking,assessment,collection_site,collection_site,Drug Screen Collection Site,STRING,,,,,transactional_data,Name or identifier of the collection facility where a drug screen or physical assessment specimen was collected. Applicable for drug screen and physical assessment types.,U.S. Department of Transportation (DOT) Drug Testing Regulations; U.S. Department of Labor (DOL)
candidate,engagement_tracking,assessment,competency_level,competency_level,Competency Level,STRING,,,,beginner|intermediate|advanced|expert,transactional_data,"The proficiency level demonstrated by the candidate on this assessment, mapped to a standardized competency scale. Used for candidate ranking and job matching in the ATS.",ISO 30405:2016 Human Resource Management - Guidelines on Recruitment; SHRM Competency Model
candidate,engagement_tracking,assessment,completed_timestamp,completed_timestamp,Assessment Completed Timestamp,TIMESTAMP,,,,,transactional_data,Date and time when the candidate completed or submitted the assessment. Used to calculate assessment duration and monitor candidate engagement.,ISO 30405:2016 Human Resource Management - Guidelines on Recruitment
candidate,engagement_tracking,assessment,consent_date,consent_date,Candidate Consent Date,DATE,,,,,transactional_data,Date on which the candidate provided consent for this assessment. Required for FCRA compliance documentation for background checks and drug screens.,Fair Credit Reporting Act (FCRA); GDPR Article 7; CCPA
candidate,engagement_tracking,assessment,consent_obtained,consent_obtained,Candidate Consent Obtained,BOOLEAN,,,,,transactional_data,"Indicates whether the candidate provided explicit written or electronic consent prior to the administration of this assessment, as required by FCRA for background checks and applicable privacy regulations.",Fair Credit Reporting Act (FCRA); GDPR Article 7; CCPA; EEOC
candidate,engagement_tracking,assessment,created_timestamp,created_timestamp,Record Created Timestamp,TIMESTAMP,,,,,transactional_data,"Date and time when this assessment record was first created in the system. Supports audit trail, data lineage, and Silver Layer ingestion tracking.",SOC 2 Type II; GDPR Article 5; CCPA
candidate,engagement_tracking,assessment,delivery_channel,delivery_channel,Assessment Delivery Channel,STRING,,,,online|in_person|phone|video|paper|proctored_online,transactional_data,"The method or channel through which the assessment was delivered to the candidate. Impacts score interpretation, proctoring requirements, and compliance with standardized testing protocols.",ISO 30405:2016 Human Resource Management - Guidelines on Recruitment; EEOC
candidate,engagement_tracking,assessment,drug_screen_panel,drug_screen_panel,Drug Screen Panel Type,STRING,,,,5_panel|10_panel|12_panel|hair_follicle|oral_fluid|urine,transactional_data,The type of drug screening panel administered when assessment_type is 'drug_screen'. Determines which substances are tested and aligns with client-specific or DOT-mandated requirements.,U.S. Department of Transportation (DOT) Drug Testing Regulations; U.S. Department of Labor (DOL); OSHA
candidate,engagement_tracking,assessment,duration_minutes,duration_minutes,Assessment Duration (Minutes),INT,,,,,transactional_data,"Actual time in minutes the candidate spent completing the assessment, calculated from administered_timestamp to completed_timestamp. Used for quality assurance and detecting anomalous completion patterns.",ISO 30405:2016 Human Resource Management - Guidelines on Recruitment
candidate,engagement_tracking,assessment,expiration_date,expiration_date,Assessment Expiration Date,DATE,,,,,transactional_data,"Date after which the assessment result is no longer considered valid for placement decisions. Particularly relevant for drug screens, background checks, and certifications with regulatory shelf-life requirements.",Fair Credit Reporting Act (FCRA); U.S. Department of Labor (DOL); OSHA
candidate,engagement_tracking,assessment,is_proctored,is_proctored,Is Proctored Assessment,BOOLEAN,,,,,transactional_data,Indicates whether the assessment was administered under proctored conditions to ensure integrity and prevent cheating. Relevant for high-stakes technical screens and cognitive assessments.,ISO 30405:2016 Human Resource Management - Guidelines on Recruitment; EEOC Uniform Guidelines
candidate,engagement_tracking,assessment,is_req_specific,is_req_specific,Is Requisition-Specific Assessment,BOOLEAN,,,,,transactional_data,Indicates whether this assessment was administered specifically for a particular job order/requisition (True) or as a general talent pool qualification assessment (False). Drives reusability logic for candidate redeployment.,ISO 30405:2016 Human Resource Management - Guidelines on Recruitment; American Staffing Association (ASA)
candidate,engagement_tracking,assessment,medical_review_officer,medical_review_officer,Medical Review Officer (MRO),STRING,,,confidential,,transactional_data,Name or identifier of the licensed Medical Review Officer (MRO) who reviewed and certified the drug screen result. Required for DOT-regulated positions and federally mandated drug testing programs.,U.S. Department of Transportation (DOT) 49 CFR Part 40; U.S. Department of Labor (DOL)
candidate,engagement_tracking,assessment,normalized_score,normalized_score,Normalized Assessment Score,"DECIMAL(10,4)",,,confidential,,transactional_data,"The standardized score after applying normalization logic (e.g., percentile conversion, scale adjustment) to enable cross-assessment and cross-candidate comparison. Drives Quality of Submission (QoS) and candidate ranking workflows.",EEOC Uniform Guidelines on Employee Selection Procedures; ISO 30405:2016
candidate,engagement_tracking,assessment,notes,notes,Assessment Notes,STRING,,,confidential,,transactional_data,"Free-text field for recruiter or assessor observations, qualitative feedback, or contextual notes about the assessment administration or result. Supports human-in-the-loop review workflows.",ISO 30405:2016 Human Resource Management - Guidelines on Recruitment; EEOC
candidate,engagement_tracking,assessment,pass_fail_result,pass_fail_result,Pass/Fail Result,STRING,,,confidential,pass|fail|inconclusive|waived|pending,transactional_data,"The binary or categorical outcome of the assessment indicating whether the candidate met the required threshold. Drives ATS workflow routing, submittal eligibility, and Quality of Submission (QoS) scoring.",EEOC Uniform Guidelines on Employee Selection Procedures; ISO 30405:2016; Fair Credit Reporting Act (FCRA)
candidate,engagement_tracking,assessment,passing_threshold,passing_threshold,Passing Score Threshold,"DECIMAL(10,4)",,,,,transactional_data,The minimum score required for a candidate to pass this assessment. Used to derive pass/fail result and enforce client-specific or role-specific screening standards.,EEOC Uniform Guidelines on Employee Selection Procedures; American Staffing Association (ASA)
candidate,engagement_tracking,assessment,percentile_rank,percentile_rank,Percentile Rank,"DECIMAL(5,2)",,,confidential,,transactional_data,The candidate's score expressed as a percentile relative to the norming population for this assessment. Enables comparative ranking of candidates for a given requisition.,EEOC Uniform Guidelines on Employee Selection Procedures; ISO 30405:2016
candidate,engagement_tracking,assessment,provider_assessment_code,provider_assessment_code,Provider Assessment ID,STRING,,,,,transactional_data,"The external identifier assigned to this assessment by the third-party assessment provider platform. Enables reconciliation between internal records and provider systems (e.g., Sterling, HireVue, Codility).",SOC 2 Type II; Fair Credit Reporting Act (FCRA)
candidate,engagement_tracking,assessment,provider_name,provider_name,Assessment Provider Name,STRING,,,,,transactional_data,"Name of the third-party vendor or platform that administered the assessment (e.g., HireVue, Codility, Wonderlic, Sterling Background Check). Used for vendor performance tracking and cost allocation.",American Staffing Association (ASA) Best Practices; Staffing Industry Analysts (SIA)
