domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
inventory,fulfillment_logistics,asn,asn_id,asn_id,Advance Shipment Notice (ASN) ID,BIGINT,Y,,,,transactional_data,Unique identifier for the advance shipment notice record.,ISO/IEC 11179
inventory,fulfillment_logistics,asn,asn_ship_to_location_warehouse_location_id,asn_ship_to_location_warehouse_location_id,Ship To Location ID,BIGINT,,inventory.warehouse_location.warehouse_location_id,,,transactional_data,"Identifier of the destination location (distribution center, warehouse, retail store, or 3PL) where goods will be received.",SAP S/4HANA WM
inventory,fulfillment_logistics,asn,asn_warehouse_location_id,asn_warehouse_location_id,Ship From Location ID,BIGINT,,inventory.warehouse_location.warehouse_location_id,,,transactional_data,"Identifier of the origin location (supplier facility, factory, warehouse, or 3PL) from which goods are shipped.",SAP S/4HANA WM
inventory,fulfillment_logistics,asn,bill_of_lading_id,bill_of_lading_id,Bill Of Lading Id (Foreign Key),BIGINT,,logistics.bill_of_lading.bill_of_lading_id,,,transactional_data,"Foreign key linking to logistics.bill_of_lading. Business justification: Inbound shipments documented on BOLs. Linking enables receiving document validation, freight claim filing, carrier liability determination, and shipment traceability—fundamental apparel receiving oper",Internal - LLM Generated Cross-Domain Link
inventory,fulfillment_logistics,asn,carbon_emission_id,carbon_emission_id,Carbon Emission Id (Foreign Key),BIGINT,,sustainability.carbon_emission.carbon_emission_id,,,transactional_data,"Foreign key linking to sustainability.carbon_emission. Business justification: Inbound shipments (ASNs) are primary scope 3 emission sources. ASN-to-emission linkage enables carbon accounting per shipment, carrier performance benchmarking, and modal shift analysis for decarboniz",Internal - LLM Generated Cross-Domain Link
inventory,fulfillment_logistics,asn,customs_entry_id,customs_entry_id,Customs Entry Id (Foreign Key),BIGINT,,logistics.customs_entry.customs_entry_id,,,transactional_data,"Foreign key linking to logistics.customs_entry. Business justification: Imported ASNs tied to customs filings. Linking enables pre-clearance planning, ISF compliance validation, customs hold impact analysis, and entry-level traceability—critical for apparel trade complian",Internal - LLM Generated Cross-Domain Link
inventory,fulfillment_logistics,asn,order_purchase_order_id,order_purchase_order_id,Purchase Order (PO) ID,BIGINT,,order.order_purchase_order.order_purchase_order_id,,,transactional_data,Reference to the purchase order that this ASN fulfills.,SAP S/4HANA MM
inventory,fulfillment_logistics,asn,packing_list_id,packing_list_id,Packing List Id (Foreign Key),BIGINT,,logistics.packing_list.packing_list_id,,,transactional_data,"Foreign key linking to logistics.packing_list. Business justification: ASN contains packing list details. Linking enables receiving validation (expected vs. actual), carton-level traceability, receiving productivity measurement (scan vs. manual), and vendor compliance sc",Internal - LLM Generated Cross-Domain Link
inventory,fulfillment_logistics,asn,pre_shipment_inspection_id,pre_shipment_inspection_id,Pre Shipment Inspection Id (Foreign Key),BIGINT,,quality.inspection.inspection_id,,,transactional_data,"Foreign key linking to quality.inspection. Business justification: ASNs reference pre-shipment inspections conducted at supplier/factory before goods ship. Enables receiving teams to verify inspection completion, expedite receipt processing, and flag discrepancies be",Internal - LLM Generated Cross-Domain Link
inventory,fulfillment_logistics,asn,receiving_supervisor_employee_id,receiving_supervisor_employee_id,Receiving Supervisor Employee Id (Foreign Key),BIGINT,,workforce.employee.employee_id,"confidential,pii",,transactional_data,"Foreign key linking to workforce.employee. Business justification: ASN receiving operations require supervisor assignment for dock door coordination, labor allocation, and exception handling. Critical for receiving performance metrics, labor productivity tracking, an",Internal - LLM Generated Cross-Domain Link
