domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
appeal,case_management,adverse_determination,adverse_determination_id,adverse_determination_id,Adverse Determination ID,BIGINT,Y,,,,transactional_data,Primary key for the adverse determination.,
appeal,case_management,adverse_determination,claim_header_id,claim_header_id,Claim Header ID,BIGINT,,claim.header.header_id,,,transactional_data,FK to the claim header.,
appeal,case_management,adverse_determination,member_identity_id,member_identity_id,Member Identity ID,BIGINT,,member.identity.identity_id,"pii_sensitive,restricted",,transactional_data,FK to the member identity.,
appeal,case_management,adverse_determination,pa_request_id,pa_request_id,PA Request ID,BIGINT,,utilization.pa_request.pa_request_id,,,transactional_data,FK to the utilization PA request.,
appeal,case_management,adverse_determination,prior_authorization_id,prior_authorization_id,Prior Authorization ID,BIGINT,,pharmacy.prior_authorization.prior_authorization_id,,,transactional_data,FK to the pharmacy prior authorization.,
appeal,case_management,adverse_determination,provider_id,provider_id,Provider ID,BIGINT,,provider.provider.provider_id,,,transactional_data,FK to the provider.,
appeal,case_management,adverse_determination,appeal_deadline_date,appeal_deadline_date,Appeal Deadline Date,DATE,,,,,transactional_data,Deadline for filing an appeal.,
appeal,case_management,adverse_determination,appeal_eligibility_flag,appeal_eligibility_flag,Appeal Eligibility Flag,BOOLEAN,,,,,transactional_data,Whether the determination is eligible for appeal.,
appeal,case_management,adverse_determination,appeal_filed_date,appeal_filed_date,Appeal Filed Date,DATE,,,,,transactional_data,Date an appeal was filed.,
appeal,case_management,adverse_determination,appeal_outcome,appeal_outcome,Appeal Outcome,STRING,,,,,transactional_data,Outcome of the appeal if filed.,
appeal,case_management,adverse_determination,appeal_resolution_date,appeal_resolution_date,Appeal Resolution Date,DATE,,,,,transactional_data,Date the appeal was resolved.,
appeal,case_management,adverse_determination,appeal_status,appeal_status,Appeal Status,STRING,,,,,transactional_data,Current appeal status.,
appeal,case_management,adverse_determination,basis_of_denial,basis_of_denial,Basis of Denial,STRING,,,,,transactional_data,Basis for the denial decision.,
appeal,case_management,adverse_determination,clinical_criteria_version,clinical_criteria_version,Clinical Criteria Version,STRING,,,,,transactional_data,Version of clinical criteria used.,
appeal,case_management,adverse_determination,created_timestamp,created_timestamp,Created Timestamp,TIMESTAMP,,,,,transactional_data,Record creation timestamp.,
appeal,case_management,adverse_determination,currency_code,currency_code,Currency Code,STRING,,,,,transactional_data,Currency code for monetary amounts.,
appeal,case_management,adverse_determination,denial_reason_code,denial_reason_code,Denial Reason Code,STRING,,,,,transactional_data,Code for the denial reason.,
appeal,case_management,adverse_determination,denial_reason_description,denial_reason_description,Denial Reason Description,STRING,,,,,transactional_data,Description of the denial reason.,
appeal,case_management,adverse_determination,determination_date,determination_date,Determination Date,TIMESTAMP,,,,,transactional_data,Date/time the determination was made.,
appeal,case_management,adverse_determination,determination_number,determination_number,Determination Number,STRING,,,,,transactional_data,Unique determination tracking number.,
appeal,case_management,adverse_determination,determination_status,determination_status,Determination Status,STRING,,,,,transactional_data,Current status of the determination.,
