domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
care,program_management,care_enrollment,care_enrollment_id,care_enrollment_id,Care Enrollment ID,BIGINT,Y,,,,transactional_data,System-generated unique identifier for each care enrollment record.,Primary Key
care,program_management,care_enrollment,coordinator_id,coordinator_id,Care Manager ID,BIGINT,,care.coordinator.coordinator_id,"restricted,pii_identifier",,transactional_data,Identifier of the care coordinator assigned to the member for this enrollment.,Care Coordinator Master
care,program_management,care_enrollment,eligibility_span_id,eligibility_span_id,Eligibility Span Id (Foreign Key),BIGINT,,member.eligibility_span.eligibility_span_id,,,transactional_data,Foreign key linking to member.eligibility_span. Business justification: Care managers must confirm active eligibility before enrolling a member in a care program. Linking care_enrollment to the specific eligibility_span validates coverage at enrollment time and supports r,Internal - LLM Generated Cross-Domain Link
care,program_management,care_enrollment,member_enrollment_id,member_enrollment_id,,BIGINT,,member.member_enrollment.member_enrollment_id,,,transactional_data,SSOT reference to member.enrollment (single source of truth),
care,program_management,care_enrollment,member_risk_score_id,member_risk_score_id,Member Risk Score Id (Foreign Key),BIGINT,,risk.member_risk_score.member_risk_score_id,,,transactional_data,Foreign key linking to risk.member_risk_score. Business justification: Underwriting uses a member's risk score at enrollment; linking provides audit trail for premium determination.,Internal - LLM Generated Cross-Domain Link
care,program_management,care_enrollment,member_risk_tier_id,member_risk_tier_id,Member Risk Tier Id (Foreign Key),BIGINT,,care.member_risk_tier.member_risk_tier_id,,,transactional_data,Foreign key linking to care.member_risk_tier. Business justification: Care enrollments are frequently triggered by a member's risk tier assignment — high-risk members are enrolled in disease management or case management programs. Linking care_enrollment to member_risk_,Internal - LLM Generated Cross-Domain Link
care,program_management,care_enrollment,plan_election_id,plan_election_id,Plan Election Id (Foreign Key),BIGINT,,enrollment.plan_election.plan_election_id,,,transactional_data,"Foreign key linking to enrollment.plan_election. Business justification: Care program enrollment requires active health plan coverage. Care management systems verify benefits, cost-sharing, and covered services from the member's plan election to determine program eligibili",Internal - LLM Generated Cross-Domain Link
care,program_management,care_enrollment,policy_id,policy_id,Policy Id (Foreign Key),BIGINT,,member.policy.policy_id,,,transactional_data,"Foreign key linking to member.policy. Business justification: Care management program enrollment must be authorized under a specific policy. Insurers track which policy authorizes care management services for billing, utilization management, and audit purposes. ",Internal - LLM Generated Cross-Domain Link
care,program_management,care_enrollment,program_id,program_id,Care Program ID,BIGINT,,care.program.program_id,confidential,,transactional_data,"Identifier of the care, disease, or case management program to which the member is enrolled.",Care Program Catalog (Care Management System)
care,program_management,care_enrollment,acuity_level,acuity_level,Acuity Level (ACUITY_LEVEL),STRING,,,,low|moderate|high|critical,transactional_data,Clinical acuity assigned to the member for this program.,Care Management System
care,program_management,care_enrollment,care_manager_assigned_date,care_manager_assigned_date,Care Manager Assigned Date,DATE,,,,,transactional_data,Date the care manager was officially assigned to the member.,Care Management System
care,program_management,care_enrollment,consent_status,consent_status,Consent Status (CONSENT_STATUS),STRING,,,"restricted,pii_health",consented|declined|pending,transactional_data,Member's consent status for participation and data sharing within the program.,HIPAA Privacy Rule
care,program_management,care_enrollment,created_timestamp,created_timestamp,Record Creation Timestamp,TIMESTAMP,,,,,transactional_data,Timestamp when the enrollment record was first created in the system.,System Audit
care,program_management,care_enrollment,disenrollment_date,disenrollment_date,Disenrollment Date,DATE,,,,,transactional_data,Actual date the member left the program.,Care Management System
care,program_management,care_enrollment,effective_end_date,effective_end_date,Effective End Date,DATE,,,,,transactional_data,Planned termination date of the enrollment (null if open‑ended).,Care Management System
care,program_management,care_enrollment,effective_start_date,effective_start_date,Effective Start Date,DATE,,,,,transactional_data,Date when the enrollment becomes effective.,Care Management System
care,program_management,care_enrollment,enrollment_number,enrollment_number,Enrollment Number (ENROLLMENT_NUMBER),STRING,,,,,transactional_data,"Business identifier assigned to the enrollment, used in operational reporting and member communications.",Care Management System (Carenet TruCare/Altruista)
care,program_management,care_enrollment,enrollment_source,enrollment_source,Enrollment Source (ENROLLMENT_SOURCE),STRING,,,,outreach|referral|self_referral|claims_triggered|hra_triggered,transactional_data,"Origin of the enrollment request, indicating how the member entered the program.",Care Management System
