domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
fnb,inventory_control,inventory_item,inventory_item_id,inventory_item_id,Inventory Item Identifier,BIGINT,Y,,,,master_data,Primary key for inventory_item,
fnb,inventory_control,inventory_item,alcohol_by_volume_percent,alcohol_by_volume_percent,Alcohol by Volume (ABV) Percent,"DECIMAL(5,2)",,,,,master_data,Percentage of alcohol content by volume for alcoholic beverages. Required for regulatory reporting and responsible service of alcohol programs.,Local Alcohol Beverage Control (ABC) Regulations
fnb,inventory_control,inventory_item,alcohol_flag,alcohol_flag,Alcohol Flag,BOOLEAN,,,,,master_data,"Indicates whether the item contains alcohol. Used for regulatory compliance, age verification at POS, and beverage cost tracking.",Local Alcohol Beverage Control (ABC) Regulations
fnb,inventory_control,inventory_item,allergen_flag,allergen_flag,Allergen Flag,BOOLEAN,,,,,master_data,"Indicates whether the item contains or may contain common allergens (dairy, nuts, gluten, shellfish, etc.). Required for guest safety and regulatory compliance.","ISO 22000 (Food Safety Management), FDA Food Allergen Labeling"
fnb,inventory_control,inventory_item,allergen_types,allergen_types,Allergen Types,STRING,,,,,master_data,"Comma-separated list of specific allergens present in the item (e.g., dairy, tree nuts, gluten, soy, eggs, fish, shellfish, peanuts). Used for menu labeling and guest communication.","ISO 22000 (Food Safety Management), FDA Food Allergen Labeling"
fnb,inventory_control,inventory_item,brand_name,brand_name,Brand Name,STRING,,,,,master_data,"Manufacturer or brand name of the item (e.g., Coca-Cola, Grey Goose, Sysco). Used for brand-specific reporting and guest preference tracking.",Procurement Best Practice
fnb,inventory_control,inventory_item,created_timestamp,created_timestamp,Created Timestamp,TIMESTAMP,,,,,master_data,Date and time when the inventory item record was first created in the system.,Data Governance Best Practice
fnb,inventory_control,inventory_item,current_on_hand_quantity,current_on_hand_quantity,Current On-Hand Quantity,"DECIMAL(10,2)",,,,,master_data,"Real-time quantity of the item currently available in inventory across all storage locations. Updated by receipts, issues, and physical counts.",Oracle Hospitality MICROS Inventory Module
fnb,inventory_control,inventory_item,gluten_free_flag,gluten_free_flag,Gluten Free Flag,BOOLEAN,,,,,master_data,Indicates whether the item is certified gluten-free or naturally contains no gluten. Critical for guests with celiac disease or gluten sensitivity.,FDA Gluten-Free Labeling
fnb,inventory_control,inventory_item,halal_certified_flag,halal_certified_flag,Halal Certified Flag,BOOLEAN,,,,,master_data,Indicates whether the item is certified Halal. Required for properties serving Muslim guests and for menu compliance.,Halal Certification Authority
fnb,inventory_control,inventory_item,iso_food_safety_classification,iso_food_safety_classification,ISO Food Safety Classification,STRING,,,,high_risk|medium_risk|low_risk|non_food,master_data,"Risk classification based on ISO 22000 food safety standards. High-risk items (e.g., raw meat, dairy) require stricter handling and monitoring.",ISO 22000 (Food Safety Management)
