domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
design,component_integration,design_ip_core,design_ip_core_id,design_ip_core_id,Intellectual Property (IP) Core ID,BIGINT,Y,,,,master_data,Unique surrogate identifier for each IP core record in the master catalog. Primary key for the ip_core data product.,IEEE 1685 (IP-XACT Standard for IP Core Metadata)
design,component_integration,design_ip_core,material_master_id,material_master_id,Material Master Id (Foreign Key),BIGINT,,supply.material_master.material_master_id,,,master_data,"Foreign key linking to supply.material_master. Business justification: Licensed IP cores (GDS, LEF, timing models) are procured deliverables tracked as material masters for compliance (RoHS, REACH), shelf-life, and procurement cost management. This link enables IP procur",Internal - LLM Generated Cross-Domain Link
design,component_integration,design_ip_core,pdk_id,pdk_id,Pdk Id (Foreign Key),BIGINT,,design.pdk.pdk_id,,,master_data,Foreign key linking to design.pdk. Business justification: An IP core is defined for a specific Process Design Kit; linking ip_core to pdk eliminates redundant version fields and enables direct lookup of process details.,Internal - LLM Generated Cross-Domain Link
design,component_integration,design_ip_core,product_ip_core_id,product_ip_core_id,Product Ip Core Id (Foreign Key),BIGINT,,product.product_ip_core.product_ip_core_id,,,master_data,"Foreign key linking to product.product_ip_core. Business justification: Needed for IP commercialization tracking: links each designed IP core to its product record for royalty, licensing, and revenue reporting.",Internal - LLM Generated Cross-Domain Link
design,component_integration,design_ip_core,rtl_specification_id,rtl_specification_id,Rtl Specification Id (Foreign Key),BIGINT,,design.rtl_specification.rtl_specification_id,,,master_data,"Foreign key linking to design.rtl_specification. Business justification: A design_ip_core is a reusable IP block that has an authoritative RTL specification defining its functional hardware description. The rtl_specification product captures the HDL source, interface proto",Internal - LLM Generated Cross-Domain Link
design,component_integration,design_ip_core,supplier_id,supplier_id,Supplier Id (Foreign Key),BIGINT,,supply.supplier.supplier_id,,,master_data,"Foreign key linking to supply.supplier. Business justification: IP core licensing vendor relationship; needed for royalty tracking, compliance, and supplier risk assessment.",Internal - LLM Generated Cross-Domain Link
design,component_integration,design_ip_core,area_um2,area_um2,Silicon Area Square Micrometers (PPA - Area),"DECIMAL(18,4)",,,,,master_data,Physical silicon area occupied by the IP core in square micrometers (µm²) for the characterized process node. Part of the PPA characterization data used for die size estimation and floorplanning in Cadence Innovus.,Cadence Innovus Physical Design; IEEE 1685 (IP-XACT); SEMI
design,component_integration,design_ip_core,created_timestamp,created_timestamp,Record Creation Timestamp,TIMESTAMP,,,,,master_data,Timestamp when this IP core record was first created in the master catalog (yyyy-MM-ddTHH:mm:ss.SSSXXX). Provides audit trail for data governance and lineage tracking in the Databricks Silver Layer.,SOX; ISO 9001 Record Control; GDPR Article 5 (Data Integrity)
design,component_integration,design_ip_core,datasheet_url,datasheet_url,Intellectual Property (IP) Core Datasheet URL,STRING,,,,^https?://.+$,master_data,"URL link to the official IP core datasheet or technical reference manual stored in the PLM document management system or vendor portal. Provides design teams with access to integration guidelines, timing specifications, and interface documentation.",Siemens Teamcenter PLM Document Management; Oracle Agile PLM
design,component_integration,design_ip_core,dfm_compliant,dfm_compliant,Design for Manufacturability (DFM) Compliance,BOOLEAN,,,,,master_data,Indicates whether the IP core has passed Design for Manufacturability (DFM) rule checks for the target process node (True = DFM-compliant; False = DFM issues present or not checked). DFM compliance reduces yield risk during wafer fabrication.,SEMI DFM Standards; Cadence Innovus DFM; Synopsys IC Compiler DFM
design,component_integration,design_ip_core,dft_compliant,dft_compliant,Design for Testability (DFT) Compliance,BOOLEAN,,,,,master_data,"Indicates whether the IP core includes Design for Testability (DFT) structures (scan chains, BIST, boundary scan) compliant with the project's DFT architecture (True = DFT-compliant; False = not compliant or not applicable). Affects ATPG test coverage and ATE test time.",IEEE 1149.1 (JTAG Boundary Scan); IEEE 1500 (Embedded Core Test); JEDEC; Siemens Tessent DFT
design,component_integration,design_ip_core,eda_tool_compatibility,eda_tool_compatibility,Electronic Design Automation (EDA) Tool Compatibility,STRING,,,,,master_data,"Comma-separated list of EDA tools and versions with which this IP core has been validated (e.g., 'Cadence Virtuoso 23.1, Synopsys DC 2023.03, Cadence Innovus 22.1'). Ensures design teams select compatible tool versions for integration.",Cadence Virtuoso; Synopsys Design Compiler; Cadence Innovus; IEEE 1685 (IP-XACT)
design,component_integration,design_ip_core,export_control_classification,export_control_classification,Export Control Classification Number (ECCN) / ITAR Classification,STRING,,,,EAR99|ECCN_3E001|ECCN_3E002|ECCN_3E003|ITAR_controlled,master_data,Export control classification of the IP core under US Export Administration Regulations (EAR) or International Traffic in Arms Regulations (ITAR). Determines licensing requirements for cross-border IP transfers and design collaboration with foreign nationals. EAR99 = no license required; ECCN codes require BIS license review; ITAR_controlled = State Dept. license required.,BIS/EAR (Export Administration Regulations); ITAR (International Traffic in Arms Regulations); CHIPS Act Compliance
design,component_integration,design_ip_core,foundry_compatibility,foundry_compatibility,Foundry Compatibility,STRING,,,,,master_data,"Comma-separated list of semiconductor foundries for which this IP core has been qualified and is available (e.g., 'TSMC, Samsung, GlobalFoundries'). Determines which fabrication facilities can manufacture designs incorporating this IP.",SEMI Standards; PDK Qualification; Siemens Teamcenter PLM
design,component_integration,design_ip_core,function_category,function_category,Intellectual Property (IP) Core Function Category,STRING,,,,,master_data,"Functional classification of the IP core indicating its primary design purpose (e.g., CPU, GPU, NPU, SerDes, PHY, memory_controller, analog, RF, security, interconnect, IO). Used for IP portfolio management and design-in selection. [ENUM-REF-CANDIDATE: CPU|GPU|NPU|SerDes|PHY|memory_controller|analog|RF|security|interconnect|IO|other — promote to reference product]",IEEE 1685 (IP-XACT); JEDEC; SEMI IP Classification
design,component_integration,design_ip_core,functional_description,functional_description,Intellectual Property (IP) Core Functional Description,STRING,,,,,master_data,"Detailed technical description of the IP core's functionality, architecture, and key features as documented in the IP datasheet. Provides design engineers with the information needed to evaluate IP suitability for a given SoC design.",IEEE 1685 (IP-XACT); Siemens Teamcenter PLM; Oracle Agile PLM
design,component_integration,design_ip_core,gate_count,gate_count,Gate Count (Logic Complexity),BIGINT,,,,,master_data,"Equivalent gate count of the IP core representing its logic complexity, expressed in number of 2-input NAND gate equivalents. Used for die area estimation, synthesis resource planning, and complexity benchmarking in Synopsys Design Compiler.",Synopsys Design Compiler; IEEE 1685 (IP-XACT); SEMI
design,component_integration,design_ip_core,gds_available,gds_available,Graphic Data System II (GDSII) Layout Availability,BOOLEAN,,,,,master_data,Indicates whether a GDSII (Graphic Data System II) physical layout file is available for this IP core (True = GDSII provided; False = not available). GDSII availability is required for hard macro integration and tapeout submission.,GDSII (Graphic Data System II) Standard; Cadence Virtuoso; SEMI
design,component_integration,design_ip_core,interface_standard,interface_standard,Interface Standard Compliance,STRING,,,,,master_data,"Industry interface protocol standards supported by this IP core (e.g., AMBA AXI4, PCIe Gen5, USB 3.2, DDR5, MIPI CSI-2). Ensures interoperability with SoC interconnect fabric and system-level integration. [ENUM-REF-CANDIDATE: AMBA_AXI4|PCIe_Gen5|USB3.2|DDR5|MIPI_CSI2|Ethernet|CAN|I2C|SPI|other — promote to reference product]",JEDEC; IEEE 802; MIPI Alliance; PCI-SIG; USB-IF; AMBA Specification (ARM)
design,component_integration,design_ip_core,ip_core_code,ip_core_code,Intellectual Property (IP) Core Code,STRING,,,,"^[A-Z0-9_-]{3,30}$",master_data,"Externally-known unique alphanumeric code identifying the IP core in the internal IP library and vendor catalogs (e.g., ARM Cortex-A55, SNPS-PCIE-GEN5). Used as the business key across EDA tool flows, PLM, and design project references.",IEEE 1685 (IP-XACT); JEDEC; Siemens Teamcenter PLM Part Number Convention
design,component_integration,design_ip_core,ip_type,ip_type,Intellectual Property (IP) Core Type,STRING,,,,hard_macro|soft_ip|firm_ip,master_data,"Classification of the IP core by its delivery form: hard_macro (fixed physical layout, process-specific GDS), soft_ip (synthesizable RTL, process-portable), or firm_ip (partially optimized netlist, semi-portable). Determines integration methodology and EDA tool flow requirements.",IEEE 1685 (IP-XACT); SEMI IP Reuse Standards
design,component_integration,design_ip_core,lef_available,lef_available,Library Exchange Format (LEF) Availability,BOOLEAN,,,,,master_data,Indicates whether a Library Exchange Format (LEF) abstract view is available for this IP core (True = LEF provided; False = not available). LEF files are required for place-and-route integration in Cadence Innovus and Synopsys IC Compiler.,LEF/DEF Standard; Cadence Innovus; Synopsys IC Compiler
design,component_integration,design_ip_core,license_expiry_date,license_expiry_date,Intellectual Property (IP) Core License Expiry Date,DATE,,,confidential,,master_data,Date on which the IP core license agreement expires or must be renewed. Null for perpetual licenses. Critical for license renewal planning and ensuring design projects do not use expired IP licenses.,SAP S/4HANA MM Contract Management; Oracle Agile PLM; SOX
design,component_integration,design_ip_core,license_fee_usd,license_fee_usd,Intellectual Property (IP) Core License Fee USD,"DECIMAL(18,2)",,,confidential,,master_data,One-time or annual license fee paid to the IP vendor in US Dollars (USD). Represents the NRE or access cost component of the IP licensing agreement. Null for open-source or internally developed IP.,SAP S/4HANA FI/CO; NRE (Non-Recurring Engineering) Cost Tracking; SOX Compliance
design,component_integration,design_ip_core,license_type,license_type,Intellectual Property (IP) Core License Type,STRING,,,confidential,perpetual|subscription|royalty_bearing|royalty_free|open_source,master_data,"Type of licensing arrangement governing use of this IP core: perpetual (one-time fee, unlimited use), subscription (time-limited access), royalty_bearing (per-unit royalty on shipped products), royalty_free (no per-unit royalty after license fee), open_source (governed by open-source license terms). Drives financial planning and legal compliance.",SAP S/4HANA FI Contract Management; Oracle Agile PLM; ITAR/EAR; SEMI
