domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
fulfillment,carrier_shipping,carrier,carrier_id,carrier_id,Carrier Identifier,BIGINT,Y,,,,master_data,Primary key for carrier,
fulfillment,carrier_shipping,carrier,vendor_id,vendor_id,,BIGINT,,supplier.vendor.vendor_id,,,master_data,Add column vendor_id (BIGINT) to supplier.carrier with FK to supplier.vendor.vendor_id because carriers are vendors with contracts and should link to the vendor record. P18: connect_table: supplier.carrier** - add column vendor_id (BI,
fulfillment,carrier_shipping,carrier,api_integration_flag,api_integration_flag,Application Programming Interface (API) Integration Flag,BOOLEAN,,,,,master_data,"Indicates whether the carrier provides API integration capabilities for real-time rate shopping, booking, and tracking.",
fulfillment,carrier_shipping,carrier,base_rate_per_lb,base_rate_per_lb,Base Rate Per Pound,"DECIMAL(10,4)",,,confidential,,master_data,"Negotiated base shipping rate per pound for standard service level, before surcharges and adjustments.",
fulfillment,carrier_shipping,carrier,bopis_ready_flag,bopis_ready_flag,Buy Online Pick Up In Store (BOPIS) Ready Flag,BOOLEAN,,,,,master_data,Indicates whether the carrier supports BOPIS fulfillment logistics including store-to-customer handoff coordination.,
fulfillment,carrier_shipping,carrier,carrier_status,carrier_status,Carrier Status,STRING,,,,active|inactive|suspended|pending_approval,master_data,Current operational status of the carrier relationship indicating whether the carrier is available for shipment assignment.,
fulfillment,carrier_shipping,carrier,carrier_type,carrier_type,Carrier Type,STRING,,,,parcel|ltl|ftl|last_mile|same_day|3pl,master_data,"Classification of the carrier based on service model: parcel (small package), LTL (Less Than Truckload), FTL (Full Truckload), last-mile delivery, same-day delivery, or third-party logistics (3PL) provider.",
fulfillment,carrier_shipping,carrier,code,code,Carrier Code,STRING,,,,"^[A-Z0-9]{2,10}$",master_data,Internal short code or abbreviation used to identify the carrier in operational systems.,
fulfillment,carrier_shipping,carrier,contact_email,contact_email,Primary Contact Email Address,STRING,,,"confidential,pii_email,sensitivity=pii","^[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[a-zA-Z]{2,}$",master_data,Email address of the primary carrier contact for operational communication and escalations.,
fulfillment,carrier_shipping,carrier,contact_name,contact_name,Primary Contact Name,STRING,,,"confidential,sensitivity=pii",,master_data,Name of the primary account representative or contact person at the carrier for operational coordination and issue resolution.,
fulfillment,carrier_shipping,carrier,contact_phone,contact_phone,Primary Contact Phone Number,STRING,,,"confidential,pii_phone,sensitivity=pii",,master_data,Phone number of the primary carrier contact for urgent operational issues and coordination.,
fulfillment,carrier_shipping,carrier,contract_end_date,contract_end_date,Contract End Date,DATE,,,,,master_data,Date when the carrier service contract expires or is scheduled for renewal.,
fulfillment,carrier_shipping,carrier,contract_start_date,contract_start_date,Contract Start Date,DATE,,,,,master_data,Date when the carrier service contract or agreement became effective.,
fulfillment,carrier_shipping,carrier,created_timestamp,created_timestamp,Record Created Timestamp,TIMESTAMP,,,,,master_data,Timestamp when the carrier master record was first created in the system.,
fulfillment,carrier_shipping,carrier,cutoff_time_local,cutoff_time_local,Cutoff Time Local,STRING,,,,^([01]?[0-9]|2[0-3]):[0-5][0-9]$,master_data,Daily cutoff time in local warehouse time zone (HH:MM format) by which shipments must be tendered to the carrier to qualify for same-day pickup and service level commitment.,
fulfillment,carrier_shipping,carrier,dimensional_weight_factor,dimensional_weight_factor,Dimensional Weight Factor,"DECIMAL(8,2)",,,,,master_data,Divisor used to calculate dimensional weight from package dimensions (length x width x height / factor). Common values are 139 for domestic and 166 for international.,
fulfillment,carrier_shipping,carrier,edi_capable_flag,edi_capable_flag,Electronic Data Interchange (EDI) Capable Flag,BOOLEAN,,,,,master_data,"Indicates whether the carrier supports Electronic Data Interchange (EDI) for automated shipment booking, tracking, and invoicing.",
fulfillment,carrier_shipping,carrier,extended_area_surcharge,extended_area_surcharge,Extended Area Surcharge,"DECIMAL(8,2)",,,confidential,,master_data,Additional fee charged for deliveries to remote or extended service areas beyond standard coverage zones.,
