domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
field,aid_distribution,assessment,assessment_id,assessment_id,Assessment ID,BIGINT,Y,,,,master_data,Unique identifier for the field assessment record. Primary key.,Core Humanitarian Standard (CHS)
field,aid_distribution,assessment,agreement_id,agreement_id,Safeguarding Incident Id (Foreign Key),BIGINT,,partnership.agreement.agreement_id,,,master_data,"Foreign key linking to partnership.agreement. Business justification: Field assessments involve beneficiary interviews and data collection with inherent safeguarding risks. Incident reporting during assessments is mandatory for ethical research protocols, protection mai",Internal - LLM Generated Cross-Domain Link
field,aid_distribution,assessment,award_id,award_id,Award Id (Foreign Key),BIGINT,,grant.award.award_id,,,master_data,"Foreign key linking to grant.award. Business justification: Assessments (needs, baseline, endline, PDM) are typically award-funded activities requiring donor reporting and cost tracking. Critical for MEL frameworks, donor compliance, and linking assessment fin",Internal - LLM Generated Cross-Domain Link
field,aid_distribution,assessment,component_id,component_id,Component Id (Foreign Key),BIGINT,,program.component.component_id,,,master_data,"Foreign key linking to program.component. Business justification: Assessments are conducted under specific program components. NGO MEL teams link assessments to components for component-level results measurement, donor reporting, and CHS accountability on evidence-b",Internal - LLM Generated Cross-Domain Link
field,aid_distribution,assessment,country_office_id,country_office_id,Country Office Id (Foreign Key),BIGINT,,field.country_office.country_office_id,,,master_data,"Foreign key linking to field.country_office. Business justification: Assessments are conducted within the operational scope of a country office. While assessment already links to project_site (and project_site links to country_office), some assessments may be country-o",Internal - LLM Generated Cross-Domain Link
field,aid_distribution,assessment,distribution_event_id,distribution_event_id,Distribution Event ID,BIGINT,,field.distribution_event.distribution_event_id,,,master_data,Reference to the distribution event being monitored. Applicable for Post-Distribution Monitoring (PDM) assessments only.,Sphere Humanitarian Standards
field,aid_distribution,assessment,distribution_plan_id,distribution_plan_id,Distribution Plan Id (Foreign Key),BIGINT,,supply.distribution_plan.distribution_plan_id,,,master_data,"Foreign key linking to supply.distribution_plan. Business justification: Plan Effectiveness Assessment (PDM/Post-Distribution Monitoring): NGO MEL teams conduct assessments explicitly against distribution plans to evaluate plan vs. actual outcomes, coverage gaps, and benef",Internal - LLM Generated Cross-Domain Link
field,aid_distribution,assessment,funding_source_id,funding_source_id,Finance Fund Id (Foreign Key),BIGINT,,grant.funding_source.funding_source_id,,,master_data,Foreign key linking to grant.funding_source. Business justification: Assessments are funded activities charged to specific funds. Finance needs to track assessment costs against fund budgets for donor reporting and fund management.,Internal - LLM Generated Cross-Domain Link
field,aid_distribution,assessment,household_id,household_id,Household Id (Foreign Key),BIGINT,,beneficiary.household.household_id,,,master_data,"Foreign key linking to beneficiary.household. Business justification: Field assessments (PDM, needs assessments, post-distribution monitoring) are conducted at the household level. Linking assessment to household enables household-level assessment history tracking, requ",Internal - LLM Generated Cross-Domain Link
field,aid_distribution,assessment,intervention_id,intervention_id,Intervention Id (Foreign Key),BIGINT,,program.intervention.intervention_id,,,master_data,"Foreign key linking to program.intervention. Business justification: Assessments (needs assessments, PDM, post-distribution monitoring) inform intervention design, measure intervention effectiveness, and provide evidence for program amendments. While some assessments l",Internal - LLM Generated Cross-Domain Link
field,aid_distribution,assessment,lead_volunteer_id,lead_volunteer_id,Lead Volunteer Id (Foreign Key),BIGINT,,volunteer.volunteer.volunteer_id,,,master_data,Foreign key linking to volunteer.volunteer. Business justification: MEL accountability and donor reporting require identifying the lead volunteer who conducted or validated an assessment. Assessment quality audits and volunteer contribution reports depend on this link,Internal - LLM Generated Cross-Domain Link
field,aid_distribution,assessment,logframe_row_id,logframe_row_id,Logframe Row Id (Foreign Key),BIGINT,,program.logframe_row.logframe_row_id,,,master_data,"Foreign key linking to program.logframe_row. Business justification: Assessments measure progress against specific logframe rows. NGO MEL teams link field assessments to logframe result statements for indicator tracking, results reporting, and evidence-based logframe u",Internal - LLM Generated Cross-Domain Link
