domain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
authorization,appeal_decision,appeal_decision_id,appeal_decision_id,Appeal Decision Identifier,BIGINT,Y,,,,transactional_data,System generated unique identifier for each appeal decision record.,UnitedHealth Internal Data Standard
authorization,appeal_decision,agent_id,agent_id,Reviewer Identifier,BIGINT,,service.agent.agent_id,,,transactional_data,Unique identifier of the staff member who performed the appeal review.,UnitedHealth Internal Data Standard
authorization,appeal_decision,appeal_id,appeal_id,Appeal Identifier,BIGINT,,shared.appeal.appeal_id,,,transactional_data,Unique identifier assigned to the appeal request.,UnitedHealth Internal Data Standard
authorization,appeal_decision,auth_status_id,auth_status_id,Auth Status Id (Foreign Key),BIGINT,,authorization.auth_status.auth_status_id,,,transactional_data,Foreign key linking to authorization.auth_status. Business justification: Appeal decisions have status for tracking appeal workflow progression. Replaces string-based status with FK to standardized status table.,Internal - LLM Generated Cross-Domain Link
authorization,appeal_decision,authorization_denial_reason_id,authorization_denial_reason_id,Denial Reason Id (Foreign Key),BIGINT,,authorization.authorization_denial_reason.authorization_denial_reason_id,,,transactional_data,Foreign key linking to authorization.denial_reason. Business justification: Appeal decisions can affirm denials and need to reference standardized denial reasons for consistency and reporting.,Internal - LLM Generated Cross-Domain Link
authorization,appeal_decision,benefit_package_id,benefit_package_id,Benefit Package Id (Foreign Key),BIGINT,,eligibility.benefit_package.benefit_package_id,,,transactional_data,Foreign key linking to eligibility.benefit_package. Business justification: Appeal decisions re-evaluate benefit package terms to determine if original denial was appropriate. Appeals coordinators review benefit package exclusions and limitations when reconsidering authorizat,Internal - LLM Generated Cross-Domain Link
authorization,appeal_decision,care_setting_id,care_setting_id,Care Setting Id (Foreign Key),BIGINT,,authorization.care_setting.care_setting_id,,,transactional_data,Foreign key linking to authorization.care_setting. Business justification: Appeal decisions are specific to care settings that drive different appeal criteria and review requirements.,Internal - LLM Generated Cross-Domain Link
authorization,appeal_decision,claim_id,claim_id,Claim Identifier,BIGINT,,claim.claim.claim_id,,,transactional_data,Identifier of the claim associated with the appeal.,Claims System (Facets)
authorization,appeal_decision,clinical_guideline_id,clinical_guideline_id,Clinical Guideline Id (Foreign Key),BIGINT,,authorization.clinical_guideline.clinical_guideline_id,,,transactional_data,Foreign key linking to authorization.clinical_guideline. Business justification: Appeal decisions reference clinical guidelines used in the appeal review process. Replaces string-based guideline tracking with FK.,Internal - LLM Generated Cross-Domain Link
authorization,appeal_decision,member_profile_id,member_profile_id,Member Identifier,BIGINT,,member.member_profile.member_profile_id,,,transactional_data,Unique identifier for the member who initiated the appeal.,Member Management System (QNXT)
authorization,appeal_decision,original_decision_id,original_decision_id,Original Decision Identifier,BIGINT,,authorization.decision.decision_id,,,transactional_data,Identifier of the original claim or authorization decision that is being appealed.,Claims System (Facets)
authorization,appeal_decision,plan_id,plan_id,Health Plan Identifier,BIGINT,,care.plan.plan_id,,,transactional_data,Identifier of the health plan under which the member is covered.,Plan Management System
authorization,appeal_decision,priority_level_id,priority_level_id,Priority Level Id (Foreign Key),BIGINT,,authorization.priority_level.priority_level_id,,,transactional_data,Foreign key linking to authorization.priority_level. Business justification: Appeal decisions have priority levels for SLA management and expedited appeal processing.,Internal - LLM Generated Cross-Domain Link
authorization,appeal_decision,profile_id,profile_id,Provider Identifier,BIGINT,,provider.profile.profile_id,,,transactional_data,Unique identifier for the provider associated with the claim or service.,Provider Management System (QNXT)
authorization,appeal_decision,provider_id,provider_id,Provider Identifier,BIGINT,,provider.provider.provider_id,,,transactional_data,Unique identifier for the provider associated with the claim or service.,Provider Management System (QNXT)
authorization,appeal_decision,request_id,request_id,Prior Authorization Identifier,BIGINT,,authorization.request.request_id,,,transactional_data,"Identifier of the prior authorization request linked to the appeal, if applicable.",Prior Authorization System (Pegasystems)
authorization,appeal_decision,request_type_id,request_type_id,Request Type Id (Foreign Key),BIGINT,,authorization.request_type.request_type_id,,,transactional_data,Foreign key linking to authorization.request_type. Business justification: Appeal decisions are specific to request types for proper appeal handling and regulatory compliance.,Internal - LLM Generated Cross-Domain Link
authorization,appeal_decision,reviewer_credential_id,reviewer_credential_id,Reviewer Credential Id (Foreign Key),BIGINT,,credentialing.credential.credential_id,,,transactional_data,Foreign key linking to credentialing.credential. Business justification: Appeal reviews require peer-to-peer review by credentialed physicians with appropriate specialty board certifications. Regulatory compliance mandates tracking reviewer credentials for external appeals,Internal - LLM Generated Cross-Domain Link
authorization,appeal_decision,reviewer_id,reviewer_id,Reviewer Identifier,BIGINT,,fraud.reviewer.reviewer_id,,,transactional_data,Unique identifier of the staff member who performed the appeal review.,UnitedHealth Internal Data Standard
