domain,subdomain,product,attribute,column_name,business_glossary_term,type,is_primary_key,foreign_key_to,tags,value_regex,data_type,description,reference
asset,calibration_standards,calibration_record,calibration_record_id,calibration_record_id,Calibration Record ID,BIGINT,Y,,,,transactional_data,Unique system-generated identifier for each calibration record event. Primary key for the calibration_record data product.,
asset,calibration_standards,calibration_record,asset_work_order_id,asset_work_order_id,Work Order ID,BIGINT,,asset.asset_work_order.asset_work_order_id,,,transactional_data,Reference to the Maximo work order under which this calibration activity was planned and executed. Enables traceability from calibration event back to maintenance scheduling.,
asset,calibration_standards,calibration_record,calibration_standard_id,calibration_standard_id,Calibration Standard ID,BIGINT,,asset.calibration_standard.calibration_standard_id,,,transactional_data,Reference to the reference standard or master gauge used to perform the calibration. The reference standard must itself be traceable to national or international measurement standards (NIST/SI).,
asset,calibration_standards,calibration_record,cost_center_id,cost_center_id,Cost Center ID,BIGINT,,finance.cost_center.cost_center_id,,,transactional_data,Reference to the SAP cost center responsible for the calibration activity. Used for OpEx allocation of calibration labor and external service costs.,
asset,calibration_standards,calibration_record,device_registry_id,device_registry_id,Device Registry Id (Foreign Key),BIGINT,,automation.device_registry.device_registry_id,,,transactional_data,"Foreign key linking to automation.device_registry. Business justification: Calibration records are tied to the calibrated device, needed for Calibration Management and Compliance audit reports.",
asset,calibration_standards,calibration_record,equipment_register_id,equipment_register_id,Asset ID,BIGINT,,asset.equipment_register.equipment_register_id,,,transactional_data,"Reference to the physical instrument, gauge, sensor, PLC, or precision measurement tool that was calibrated. Links to the asset master record in Maximo Asset Management.",
asset,calibration_standards,calibration_record,location_id,location_id,Location ID,BIGINT,,asset.location.location_id,,,transactional_data,"Reference to the plant, facility, or functional location where the instrument is installed and where the calibration was performed. Supports site-level compliance reporting and geographic traceability.",
asset,calibration_standards,calibration_record,primary_calibration_employee_id,primary_calibration_employee_id,Certifying Technician ID,BIGINT,,workforce.employee.employee_id,"confidential,pii",,transactional_data,Reference to the qualified technician or metrologist who performed and certified the calibration. Must hold documented competency for the instrument type per ISO 9001 and ISO/IEC 17025 personnel qualification requirements.,
asset,calibration_standards,calibration_record,project_header_id,project_header_id,Project Header Id (Foreign Key),BIGINT,,project.project_header.project_header_id,,,transactional_data,Foreign key linking to project.project_header. Business justification: Calibration activities are tied to project milestones for equipment commissioning.,
asset,calibration_standards,calibration_record,regulatory_requirement_id,regulatory_requirement_id,Regulatory Requirement Id (Foreign Key),BIGINT,,compliance.regulatory_requirement.regulatory_requirement_id,,,transactional_data,"Foreign key linking to compliance.regulatory_requirement. Business justification: CALIBRATION COMPLIANCE: each calibration activity is performed to satisfy a defined regulatory standard, requiring a reference to that requirement.",
